T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  15.00000  10.00000 104.55914  20.00046   0.17381   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.00735   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.99009854 1.3565E-27 0.0000E+00 0.0000E+00 3.3696E-09 3.3696E-09 0.0000E+00 0.0000E+00 3.3696E-09 6.76E-06 6.88E-06   0.010 1.0000 6.9214E-06    674.319
 9101.00 0.99118555 1.0548E-27 0.0000E+00 0.0000E+00 3.3006E-09 3.3006E-09 0.0000E+00 0.0000E+00 3.3006E-09 6.61E-06 6.71E-06   0.009 1.0000 6.7529E-06    674.227
 9111.00 0.99177951 8.7252E-28 0.0000E+00 0.0000E+00 3.3216E-09 3.3216E-09 0.0000E+00 0.0000E+00 3.3216E-09 6.63E-06 6.73E-06   0.008 1.0000 6.7702E-06    675.075
 9121.00 0.99163544 8.4068E-28 0.0000E+00 0.0000E+00 3.3266E-09 3.3266E-09 0.0000E+00 0.0000E+00 3.3266E-09 6.62E-06 6.72E-06   0.008 1.0000 6.7570E-06    675.753
 9131.00 0.99142480 8.2768E-28 0.0000E+00 0.0000E+00 3.3183E-09 3.3183E-09 0.0000E+00 0.0000E+00 3.3183E-09 6.58E-06 6.68E-06   0.009 1.0000 6.7175E-06    676.292
 9141.00 0.99212331 6.6308E-28 0.0000E+00 0.0000E+00 3.1954E-09 3.1954E-09 0.0000E+00 0.0000E+00 3.1954E-09 6.32E-06 6.40E-06   0.008 1.0000 6.4440E-06    675.607
 9151.00 0.99086779 8.1187E-28 0.0000E+00 0.0000E+00 3.4123E-09 3.4123E-09 0.0000E+00 0.0000E+00 3.4123E-09 6.71E-06 6.82E-06   0.009 1.0000 6.8615E-06    678.520
 9161.00 0.99227518 5.6050E-28 0.0000E+00 0.0000E+00 3.4629E-09 3.4629E-09 0.0000E+00 0.0000E+00 3.4629E-09 6.80E-06 6.89E-06   0.008 1.0000 6.9345E-06    679.662
 9171.00 0.99155468 6.2341E-28 0.0000E+00 0.0000E+00 3.5005E-09 3.5005E-09 0.0000E+00 0.0000E+00 3.5005E-09 6.84E-06 6.95E-06   0.008 1.0000 6.9883E-06    680.669
 9181.00 0.99200624 5.2686E-28 0.0000E+00 0.0000E+00 3.4558E-09 3.4558E-09 0.0000E+00 0.0000E+00 3.4558E-09 6.74E-06 6.83E-06   0.008 1.0000 6.8738E-06    680.844
 9191.00 0.99227780 4.5987E-28 0.0000E+00 0.0000E+00 3.4578E-09 3.4578E-09 0.0000E+00 0.0000E+00 3.4578E-09 6.72E-06 6.81E-06   0.008 1.0000 6.8531E-06    681.492
 9201.00 0.99163175 5.0321E-28 0.0000E+00 0.0000E+00 3.4315E-09 3.4315E-09 0.0000E+00 0.0000E+00 3.4315E-09 6.64E-06 6.74E-06   0.008 1.0000 6.7792E-06    681.851
 9211.00 0.99157047 4.8108E-28 0.0000E+00 0.0000E+00 3.5695E-09 3.5695E-09 0.0000E+00 0.0000E+00 3.5695E-09 6.88E-06 6.98E-06   0.008 1.0000 7.0277E-06    683.865
 9221.00 0.99197859 4.0592E-28 0.0000E+00 0.0000E+00 3.5525E-09 3.5525E-09 0.0000E+00 0.0000E+00 3.5525E-09 6.83E-06 6.93E-06   0.008 1.0000 6.9689E-06    684.324
 9231.00 0.99180621 3.9663E-28 0.0000E+00 0.0000E+00 3.4756E-09 3.4756E-09 0.0000E+00 0.0000E+00 3.4756E-09 6.66E-06 6.75E-06   0.008 1.0000 6.7955E-06    684.180
 9241.00 0.99197763 3.5281E-28 0.0000E+00 0.0000E+00 3.4822E-09 3.4822E-09 0.0000E+00 0.0000E+00 3.4822E-09 6.65E-06 6.74E-06   0.008 1.0000 6.7842E-06    684.872
 9251.00 0.99170071 3.5214E-28 0.0000E+00 0.0000E+00 3.5536E-09 3.5536E-09 0.0000E+00 0.0000E+00 3.5536E-09 6.76E-06 6.86E-06   0.008 1.0000 6.9007E-06    686.217
 9261.00 0.99166721 3.2983E-28 0.0000E+00 0.0000E+00 3.6140E-09 3.6140E-09 0.0000E+00 0.0000E+00 3.6140E-09 6.85E-06 6.95E-06   0.008 1.0000 6.9947E-06    687.441
 9271.00 0.99169797 3.0211E-28 0.0000E+00 0.0000E+00 3.5649E-09 3.5649E-09 0.0000E+00 0.0000E+00 3.5649E-09 6.73E-06 6.83E-06   0.008 1.0000 6.8762E-06    687.583
 9281.00 0.99128580 3.0796E-28 0.0000E+00 0.0000E+00 3.6577E-09 3.6577E-09 0.0000E+00 0.0000E+00 3.6577E-09 6.88E-06 6.99E-06   0.009 1.0000 7.0330E-06    689.123
 9291.00 0.99129391 2.8112E-28 0.0000E+00 0.0000E+00 3.6598E-09 3.6598E-09 0.0000E+00 0.0000E+00 3.6598E-09 6.86E-06 6.97E-06   0.009 1.0000 7.0135E-06    689.770
 9301.00 0.99091619 2.7973E-28 0.0000E+00 0.0000E+00 3.5928E-09 3.5928E-09 0.0000E+00 0.0000E+00 3.5928E-09 6.71E-06 6.82E-06   0.009 1.0000 6.8637E-06    689.741
 9311.00 0.99060011 2.7153E-28 0.0000E+00 0.0000E+00 3.6675E-09 3.6675E-09 0.0000E+00 0.0000E+00 3.6675E-09 6.83E-06 6.94E-06   0.009 1.0000 6.9849E-06    691.100
 9321.00 0.99014390 2.6836E-28 0.0000E+00 0.0000E+00 3.6264E-09 3.6264E-09 0.0000E+00 0.0000E+00 3.6264E-09 6.72E-06 6.84E-06   0.010 1.0000 6.8861E-06    691.325
 9331.00 0.98958939 2.6684E-28 0.0000E+00 0.0000E+00 3.7022E-09 3.7022E-09 0.0000E+00 0.0000E+00 3.7022E-09 6.84E-06 6.96E-06   0.010 1.0000 7.0103E-06    692.691
 9341.00 0.98897672 2.6644E-28 0.0000E+00 0.0000E+00 3.6961E-09 3.6961E-09 0.0000E+00 0.0000E+00 3.6961E-09 6.80E-06 6.93E-06   0.011 1.0000 6.9794E-06    693.260
 9351.00 0.98820645 2.6955E-28 0.0000E+00 0.0000E+00 3.5605E-09 3.5605E-09 0.0000E+00 0.0000E+00 3.5605E-09 6.52E-06 6.66E-06   0.012 1.0000 6.7060E-06    692.552
 9361.00 0.98696685 2.7851E-28 0.0000E+00 0.0000E+00 3.6780E-09 3.6780E-09 0.0000E+00 0.0000E+00 3.6780E-09 6.71E-06 6.86E-06   0.013 1.0000 6.9146E-06    694.339
 9371.00 0.98673826 2.6861E-28 0.0000E+00 0.0000E+00 3.7391E-09 3.7391E-09 0.0000E+00 0.0000E+00 3.7391E-09 6.79E-06 6.95E-06   0.013 1.0000 7.0062E-06    695.556
 9381.00 0.98657757 2.5604E-28 0.0000E+00 0.0000E+00 3.7335E-09 3.7335E-09 0.0000E+00 0.0000E+00 3.7335E-09 6.76E-06 6.92E-06   0.014 1.0000 6.9727E-06    696.129
