T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  10.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  15.00000  10.00000 180.00000   5.00000   0.00000   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  20.00098   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.99749583 3.4539E-28 0.0000E+00 0.0000E+00 1.1527E-09 1.1527E-09 0.0000E+00 0.0000E+00 1.1527E-09 6.87E-06 6.91E-06   0.003 1.0000 6.9214E-06    638.984
 9101.00 0.99777889 2.6721E-28 0.0000E+00 0.0000E+00 1.1290E-09 1.1290E-09 0.0000E+00 0.0000E+00 1.1290E-09 6.71E-06 6.74E-06   0.002 1.0000 6.7529E-06    638.936
 9111.00 0.99793220 2.2052E-28 0.0000E+00 0.0000E+00 1.1363E-09 1.1363E-09 0.0000E+00 0.0000E+00 1.1363E-09 6.73E-06 6.76E-06   0.002 1.0000 6.7702E-06    639.736
 9121.00 0.99789524 2.1233E-28 0.0000E+00 0.0000E+00 1.1384E-09 1.1384E-09 0.0000E+00 0.0000E+00 1.1384E-09 6.71E-06 6.74E-06   0.002 1.0000 6.7570E-06    640.391
 9131.00 0.99784535 2.0802E-28 0.0000E+00 0.0000E+00 1.1359E-09 1.1359E-09 0.0000E+00 0.0000E+00 1.1359E-09 6.67E-06 6.70E-06   0.002 1.0000 6.7175E-06    640.922
 9141.00 0.99802226 1.6686E-28 0.0000E+00 0.0000E+00 1.0939E-09 1.0939E-09 0.0000E+00 0.0000E+00 1.0939E-09 6.40E-06 6.43E-06   0.002 1.0000 6.4440E-06    640.344
 9151.00 0.99769449 2.0571E-28 0.0000E+00 0.0000E+00 1.1689E-09 1.1689E-09 0.0000E+00 0.0000E+00 1.1689E-09 6.81E-06 6.85E-06   0.002 1.0000 6.8615E-06    643.019
 9161.00 0.99806118 1.4078E-28 0.0000E+00 0.0000E+00 1.1860E-09 1.1860E-09 0.0000E+00 0.0000E+00 1.1860E-09 6.89E-06 6.92E-06   0.002 1.0000 6.9345E-06    644.075
 9171.00 0.99787837 1.5672E-28 0.0000E+00 0.0000E+00 1.1995E-09 1.1995E-09 0.0000E+00 0.0000E+00 1.1995E-09 6.94E-06 6.97E-06   0.002 1.0000 6.9883E-06    645.032
 9181.00 0.99799240 1.3277E-28 0.0000E+00 0.0000E+00 1.1843E-09 1.1843E-09 0.0000E+00 0.0000E+00 1.1843E-09 6.83E-06 6.86E-06   0.002 1.0000 6.8738E-06    645.230
