T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000 100.00000  20.00000 101.00075   0.30590   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    3985.0   33345.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 4389.00  0.9746 3.58E-06 3.67E-06                                                              2.575E-02
 4390.00  0.9894 3.63E-06 3.67E-06                                                              1.066E-02
 4391.00  0.9368 3.44E-06 3.67E-06                                                              6.532E-02
 4392.00  0.9768 3.59E-06 3.67E-06                                                              2.351E-02
 4393.00  0.9481 3.48E-06 3.67E-06                                                              5.333E-02
 4394.00  0.8658 3.17E-06 3.66E-06                                                              1.441E-01
 4395.00  0.9134 3.34E-06 3.66E-06                                                              9.057E-02
 4396.00  0.9630 3.52E-06 3.66E-06                                                              3.766E-02
 4397.00  0.9911 3.63E-06 3.66E-06                                                              8.982E-03
 4398.00  0.9712 3.56E-06 3.67E-06                                                              2.924E-02
 4399.00  0.9902 3.64E-06 3.68E-06                                                              9.846E-03
 4400.00  0.9608 3.54E-06 3.68E-06                                                              3.998E-02
 4401.00  0.9356 3.44E-06 3.67E-06                                                              6.652E-02
 4402.00  0.9703 3.56E-06 3.67E-06                                                              3.020E-02
 4403.00  0.9912 3.64E-06 3.67E-06                                                              8.869E-03
 4404.00  0.9607 3.53E-06 3.67E-06                                                              4.010E-02
 4405.00  0.9604 3.53E-06 3.67E-06                                                              4.042E-02
 4406.00  0.9840 3.63E-06 3.68E-06                                                              1.609E-02
 4407.00  0.9588 3.53E-06 3.69E-06                                                              4.204E-02
 4408.00  0.8984 3.31E-06 3.69E-06                                                              1.071E-01
