T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   3.00000   3.00000  90.03926  10.00025   0.08989   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  20.00413   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.69249725 1.2414E-21 0.0000E+00 0.0000E+00 4.4753E-08 4.4753E-08 0.0000E+00 0.0000E+00 4.4753E-08 4.52E-06 6.32E-06   0.367 1.0000 6.9214E-06    778.063
 9101.00 0.72894597 1.0444E-21 0.0000E+00 0.0000E+00 4.5432E-08 4.5432E-08 0.0000E+00 0.0000E+00 4.5432E-08 4.65E-06 6.27E-06   0.316 1.0000 6.7529E-06    779.465
 9111.00 0.77636969 8.2410E-22 0.0000E+00 0.0000E+00 4.7699E-08 4.7699E-08 0.0000E+00 0.0000E+00 4.7699E-08 5.02E-06 6.38E-06   0.253 1.0000 6.7702E-06    782.435
 9121.00 0.77558452 7.8071E-22 0.0000E+00 0.0000E+00 4.7678E-08 4.7678E-08 0.0000E+00 0.0000E+00 4.7678E-08 5.00E-06 6.36E-06   0.254 1.0000 6.7570E-06    783.120
 9131.00 0.76569408 7.8113E-22 0.0000E+00 0.0000E+00 4.7121E-08 4.7121E-08 0.0000E+00 0.0000E+00 4.7121E-08 4.90E-06 6.31E-06   0.267 1.0000 6.7175E-06    783.275
 9141.00 0.81431532 5.9092E-22 0.0000E+00 0.0000E+00 4.7323E-08 4.7323E-08 0.0000E+00 0.0000E+00 4.7323E-08 5.03E-06 6.14E-06   0.205 1.0000 6.4440E-06    784.180
 9151.00 0.76952428 6.9701E-22 0.0000E+00 0.0000E+00 4.8431E-08 4.8431E-08 0.0000E+00 0.0000E+00 4.8431E-08 5.04E-06 6.41E-06   0.262 1.0000 6.8615E-06    785.969
 9161.00 0.85810381 4.0935E-22 0.0000E+00 0.0000E+00 5.3099E-08 5.3099E-08 0.0000E+00 0.0000E+00 5.3099E-08 5.75E-06 6.68E-06   0.153 1.0000 6.9345E-06    791.018
 9171.00 0.80230594 5.4243E-22 0.0000E+00 0.0000E+00 5.1119E-08 5.1119E-08 0.0000E+00 0.0000E+00 5.1119E-08 5.38E-06 6.61E-06   0.220 1.0000 6.9883E-06    789.924
 9181.00 0.82581764 4.5620E-22 0.0000E+00 0.0000E+00 5.1528E-08 5.1528E-08 0.0000E+00 0.0000E+00 5.1528E-08 5.46E-06 6.57E-06   0.191 1.0000 6.8738E-06    791.009
 9191.00 0.85391080 3.6393E-22 0.0000E+00 0.0000E+00 5.2772E-08 5.2772E-08 0.0000E+00 0.0000E+00 5.2772E-08 5.65E-06 6.61E-06   0.158 1.0000 6.8531E-06    792.848
 9201.00 0.81782204 4.3145E-22 0.0000E+00 0.0000E+00 5.0711E-08 5.0711E-08 0.0000E+00 0.0000E+00 5.0711E-08 5.33E-06 6.45E-06   0.201 1.0000 6.7792E-06    791.665
 9211.00 0.82200950 4.0450E-22 0.0000E+00 0.0000E+00 5.2901E-08 5.2901E-08 0.0000E+00 0.0000E+00 5.2901E-08 5.56E-06 6.69E-06   0.196 1.0000 7.0277E-06    794.379
 9221.00 0.84083980 3.4264E-22 0.0000E+00 0.0000E+00 5.3520E-08 5.3520E-08 0.0000E+00 0.0000E+00 5.3520E-08 5.64E-06 6.69E-06   0.173 1.0000 6.9689E-06    795.641
