Reference_Path_Length: 500.000000
	0.299985 	0.449800
	0.309991 	0.490240
	0.320000 	0.515100
	0.330011 	0.535610
	0.340020 	0.553010
	0.350030 	0.570200
	0.360036 	0.584650
	0.370041 	0.600270
	0.380055 	0.612790
	0.390061 	0.625860
	0.400064 	0.637280
	0.410071 	0.647940
	0.420080 	0.657850
	0.430089 	0.667120
	0.440102 	0.675780
	0.450106 	0.683950
	0.460109 	0.691660
	0.470124 	0.698370
	0.480146 	0.704670
	0.490148 	0.712300
	0.500150 	0.718440
	0.510152 	0.723950
	0.520156 	0.729780
	0.530166 	0.734420
	0.540190 	0.739540
	0.550206 	0.744620
	0.560224 	0.750070
	0.570256 	0.751990
	0.580282 	0.757820
	0.590284 	0.744610
	0.600312 	0.766730
	0.610314 	0.774890
	0.620347 	0.778510
	0.630358 	0.770940
	0.640369 	0.786660
	0.650406 	0.790490
	0.660415 	0.789350
	0.670421 	0.799430
	0.680457 	0.802930
	0.690465 	0.804010
	0.700476 	0.801230
	0.710480 	0.811670
	0.720513 	0.791570
	0.730514 	0.573870
	0.740521 	0.822280
	0.750525 	0.826220
	0.760572 	0.201640
	0.770594 	0.817320
	0.780640 	0.835470
	0.790701 	0.837420
	0.800705 	0.824400
	0.810767 	0.840490
	0.820816 	0.841240
	0.830841 	0.832100
	0.840901 	0.849880
	0.850919 	0.852830
	0.860956 	0.855490
	0.871004 	0.856820
	0.881057 	0.859830
	0.891107 	0.861120
	0.901144 	0.717720
	0.911162 	0.827340
	0.921234 	0.845760
	0.931272 	0.487770
	0.941354 	0.337090
	0.951384 	0.740070
	0.961446 	0.825140
	0.971534 	0.829270
	0.981547 	0.847930
	0.991572 	0.878820
	1.001602 	0.881010
	1.011634 	0.882990
	1.021659 	0.879390
	1.031672 	0.886030
	1.041775 	0.887290
	1.051856 	0.887610
	1.061909 	0.885220
	1.071926 	0.879980
	1.082017 	0.883430
	1.092061 	0.881590
	1.102171 	0.709890
	1.112223 	0.709710
	1.122335 	0.105420
	1.132375 	0.420890
	1.142465 	0.750560
	1.152472 	0.537590
	1.162520 	0.666030
	1.172608 	0.885800
	1.182732 	0.763640
	1.192748 	0.843560
	1.202791 	0.882450
	1.212856 	0.902910
	1.222942 	0.905090
	1.233046 	0.891750
	1.243163 	0.908420
	1.253290 	0.904800
	1.263424 	0.889350
	1.273561 	0.898720
	1.283697 	0.908450
	1.293829 	0.869920
	1.303951 	0.777310
	1.314060 	0.802140
	1.324153 	0.496130
	1.334223 	0.714940
	1.344267 	0.154610
	1.354280 	0.000050
	1.364443 	0.000000
	1.374570 	0.000300
	1.384658 	0.000500
	1.394700 	0.000000
	1.404889 	0.000000
	1.415028 	0.008280
	1.425110 	0.210340
	1.435132 	0.226060
	1.445296 	0.041800
	1.455392 	0.014410
	1.465416 	0.126970
	1.475579 	0.354380
	1.485663 	0.443100
	1.495886 	0.508110
	1.506024 	0.911060
	1.516070 	0.912980
	1.526252 	0.907510
	1.536334 	0.923050
	1.546551 	0.925950
	1.556663 	0.937100
	1.566907 	0.933720
	1.577038 	0.919320
	1.587050 	0.934200
	1.597189 	0.928800
	1.607200 	0.936880
	1.617338 	0.939910
	1.627339 	0.940870
	1.637465 	0.940710
	1.647718 	0.939460
	1.657825 	0.931810
	1.668057 	0.940800
	1.678134 	0.942890
	1.688334 	0.944300
	1.698370 	0.944310
	1.708525 	0.746800
	1.718804 	0.943080
	1.728907 	0.784080
	1.739130 	0.938850
	1.749169 	0.913350
	1.759324 	0.935710
	1.769598 	0.710510
	1.779676 	0.758890
	1.789869 	0.844550
	1.800180 	0.053130
	1.810282 	0.104950
	1.820499 	0.000000
	1.830831 	0.000050
	1.840943 	0.000010
	1.851166 	0.000080
	1.861504 	0.001260
	1.871608 	0.000000
	1.881822 	0.000600
	1.892148 	0.000000
	1.902226 	0.000620
	1.912412 	0.000290
	1.922707 	0.040860
	1.932741 	0.018140
	1.942879 	0.243000
	1.953125 	0.110640
	1.963479 	0.057120
	1.973554 	0.711300
	1.983733 	0.916670
	1.994018 	0.601500
	2.004410 	0.207230
	2.014504 	0.499410
	2.024701 	0.696990
	2.035002 	0.938580
	2.045408 	0.921570
	2.055498 	0.648540
	2.065689 	0.697610
	2.075981 	0.881190
	2.086376 	0.915270
	2.096436 	0.955610
	2.106594 	0.940650
	2.116850 	0.958000
	2.127207 	0.953700
	2.137209 	0.959930
	2.147305 	0.958160
	2.157497 	0.958780
	2.167787 	0.956780
	2.178175 	0.955750
	2.188184 	0.877280
	2.198285 	0.695280
	2.208481 	0.956960
	2.218771 	0.959120
	2.229157 	0.957740
	2.239642 	0.955770
	2.249719 	0.952270
	2.259887 	0.952690
	2.270148 	0.945560
	2.280502 	0.942450
	2.290951 	0.943320
	2.300966 	0.927040
	2.311070 	0.957860
	2.321263 	0.939160
	2.331546 	0.904280
	2.341920 	0.658210
	2.352388 	0.405890
	2.362391 	0.933820
	2.372479 	0.874900
	2.382654 	0.786100
	2.392917 	0.874750
	2.403268 	0.876020
	2.413710 	0.595340
	2.424243 	0.339620
	2.434275 	0.623070
	2.444390 	0.762810
	2.454590 	0.108340
	2.464876 	0.680360
	2.475248 	0.379290
	2.485707 	0.420130
	2.496256 	0.264790
	2.506297 	0.003130
	2.516325 	0.000000
	2.526369 	0.000000
	2.536429 	0.000000
	2.546441 	0.000000
	2.556466 	0.000010
	2.566505 	0.000000
	2.576556 	0.000000
	2.586619 	0.000000
	2.596627 	0.000000
	2.606644 	0.000000
	2.616671 	0.000000
	2.626706 	0.000000
	2.636748 	0.000000
	2.646798 	0.000000
	2.656854 	0.000000
	2.666915 	0.000000
	2.676982 	0.000000
	2.687053 	0.000000
	2.697126 	0.000000
	2.707129 	0.000000
	2.717133 	0.000000
	2.727136 	0.000000
	2.737139 	0.000000
	2.747139 	0.000000
	2.757214 	0.000000
	2.767285 	0.000000
	2.777353 	0.000000
	2.787418 	0.000000
	2.797477 	0.000000
	2.807530 	0.000000
	2.817576 	0.000000
	2.827615 	0.000000
	2.837644 	0.000000
	2.847664 	0.000000
	2.857673 	0.002710
	2.867754 	0.008510
	2.877822 	0.000000
	2.887878 	0.000000
	2.897921 	0.271250
	2.907949 	0.097460
	2.917961 	0.139180
	2.928043 	0.427220
	2.938109 	0.000000
	2.948157 	0.008130
	2.958186 	0.000000
	2.968196 	0.000210
	2.978273 	0.186270
	2.988330 	0.481670
	2.998366 	0.145630
	3.008378 	0.008090
	3.018458 	0.000100
	3.028513 	0.669060
	3.038544 	0.005370
	3.048548 	0.000030
	3.058618 	0.533640
	3.068661 	0.427170
	3.078676 	0.561780
	3.088755 	0.226410
	3.098805 	0.008360
	3.108824 	0.000010
	3.118908 	0.671010
	3.128960 	0.000000
	3.138978 	0.025970
	3.149061 	0.534140
	3.159108 	0.543100
	3.169120 	0.616440
	3.179195 	0.741610
	3.189233 	0.543050
	3.199334 	0.022900
	3.209397 	0.000000
	3.219419 	0.324110
	3.229505 	0.000410
	3.239548 	0.142180
	3.249549 	0.036530
	3.259612 	0.069840
	3.269630 	0.406850
	3.279710 	0.000000
	3.289744 	0.774780
	3.299840 	0.000020
	3.309888 	0.513740
	3.319888 	0.000240
	3.329948 	0.422070
	3.339958 	0.128040
	3.350028 	0.763920
	3.360045 	0.761970
	3.370124 	0.686210
	3.380148 	0.051220
	3.390233 	0.914080
	3.400262 	0.861240
	3.410350 	0.819680
	3.420382 	0.941810
	3.430473 	0.947010
	3.440505 	0.500850
	3.450596 	0.950290
	3.460627 	0.879580
	3.470716 	0.916530
	3.480742 	0.883730
	3.490828 	0.898260
	3.500849 	0.952230
	3.510928 	0.913940
	3.520941 	0.915670
	3.531011 	0.890500
	3.541014 	0.702570
	3.551073 	0.939710
	3.561190 	0.958290
	3.571237 	0.928800
	3.581341 	0.802880
	3.591373 	0.941720
	3.601462 	0.936670
	3.611477 	0.908600
	3.621548 	0.956520
	3.631676 	0.420810
	3.641727 	0.960960
	3.651834 	0.933300
