T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   2.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  20.00000   3.00000 148.25264  20.00085   0.09459   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.00331   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.90629005 1.0697E-22 0.0000E+00 0.0000E+00 1.3174E-08 1.3174E-08 0.0000E+00 0.0000E+00 1.3174E-08 5.18E-06 6.90E-06   0.098 1.0000 6.9214E-06    725.300
 9101.00 0.92365158 8.4955E-23 0.0000E+00 0.0000E+00 1.3123E-08 1.3123E-08 0.0000E+00 0.0000E+00 1.3123E-08 5.25E-06 6.73E-06   0.079 1.0000 6.7529E-06    725.810
 9111.00 0.93794161 6.5502E-23 0.0000E+00 0.0000E+00 1.3442E-08 1.3442E-08 0.0000E+00 0.0000E+00 1.3442E-08 5.51E-06 6.75E-06   0.064 1.0000 6.7702E-06    727.444
 9121.00 0.93672425 6.2439E-23 0.0000E+00 0.0000E+00 1.3437E-08 1.3437E-08 0.0000E+00 0.0000E+00 1.3437E-08 5.48E-06 6.74E-06   0.065 1.0000 6.7570E-06    728.093
 9131.00 0.93388188 6.2593E-23 0.0000E+00 0.0000E+00 1.3346E-08 1.3346E-08 0.0000E+00 0.0000E+00 1.3346E-08 5.40E-06 6.70E-06   0.068 1.0000 6.7175E-06    728.485
 9141.00 0.95018333 4.4349E-23 0.0000E+00 0.0000E+00 1.3097E-08 1.3097E-08 0.0000E+00 0.0000E+00 1.3097E-08 5.43E-06 6.43E-06   0.051 1.0000 6.4440E-06    728.391
 9151.00 0.93028784 5.7652E-23 0.0000E+00 0.0000E+00 1.3691E-08 1.3691E-08 0.0000E+00 0.0000E+00 1.3691E-08 5.52E-06 6.84E-06   0.072 1.0000 6.8615E-06    730.849
 9161.00 0.96105039 2.9419E-23 0.0000E+00 0.0000E+00 1.4386E-08 1.4386E-08 0.0000E+00 0.0000E+00 1.4386E-08 6.06E-06 6.91E-06   0.040 1.0000 6.9345E-06    733.529
 9171.00 0.94262075 4.3276E-23 0.0000E+00 0.0000E+00 1.4214E-08 1.4214E-08 0.0000E+00 0.0000E+00 1.4214E-08 5.80E-06 6.97E-06   0.059 1.0000 6.9883E-06    733.707
 9181.00 0.95265508 3.3955E-23 0.0000E+00 0.0000E+00 1.4177E-08 1.4177E-08 0.0000E+00 0.0000E+00 1.4177E-08 5.84E-06 6.85E-06   0.049 1.0000 6.8738E-06    734.265
 9191.00 0.96121091 2.5686E-23 0.0000E+00 0.0000E+00 1.4328E-08 1.4328E-08 0.0000E+00 0.0000E+00 1.4328E-08 5.97E-06 6.83E-06   0.040 1.0000 6.8531E-06    735.365
 9201.00 0.94814926 3.3064E-23 0.0000E+00 0.0000E+00 1.4008E-08 1.4008E-08 0.0000E+00 0.0000E+00 1.4008E-08 5.71E-06 6.76E-06   0.053 1.0000 6.7792E-06    735.109
 9211.00 0.94878697 3.1173E-23 0.0000E+00 0.0000E+00 1.4579E-08 1.4579E-08 0.0000E+00 0.0000E+00 1.4579E-08 5.94E-06 7.01E-06   0.053 1.0000 7.0277E-06    737.411
 9221.00 0.95732939 2.4604E-23 0.0000E+00 0.0000E+00 1.4624E-08 1.4624E-08 0.0000E+00 0.0000E+00 1.4624E-08 6.00E-06 6.95E-06   0.044 1.0000 6.9689E-06    738.203
 9231.00 0.95510268 2.4740E-23 0.0000E+00 0.0000E+00 1.4269E-08 1.4269E-08 0.0000E+00 0.0000E+00 1.4269E-08 5.83E-06 6.77E-06   0.046 1.0000 6.7955E-06    737.862
 9241.00 0.96237016 1.9046E-23 0.0000E+00 0.0000E+00 1.4410E-08 1.4410E-08 0.0000E+00 0.0000E+00 1.4410E-08 5.93E-06 6.76E-06   0.038 1.0000 6.7842E-06    738.931
 9251.00 0.95635414 2.1632E-23 0.0000E+00 0.0000E+00 1.4596E-08 1.4596E-08 0.0000E+00 0.0000E+00 1.4596E-08 5.94E-06 6.88E-06   0.045 1.0000 6.9007E-06    740.126
 9261.00 0.95907372 1.9059E-23 0.0000E+00 0.0000E+00 1.4883E-08 1.4883E-08 0.0000E+00 0.0000E+00 1.4883E-08 6.07E-06 6.97E-06   0.042 1.0000 6.9947E-06    741.595
 9271.00 0.96424592 1.5324E-23 0.0000E+00 0.0000E+00 1.4757E-08 1.4757E-08 0.0000E+00 0.0000E+00 1.4757E-08 6.04E-06 6.86E-06   0.036 1.0000 6.8762E-06    741.909
 9281.00 0.95590574 1.8814E-23 0.0000E+00 0.0000E+00 1.4977E-08 1.4977E-08 0.0000E+00 0.0000E+00 1.4977E-08 6.02E-06 7.01E-06   0.045 1.0000 7.0330E-06    743.190
 9291.00 0.96441549 1.3581E-23 0.0000E+00 0.0000E+00 1.5132E-08 1.5132E-08 0.0000E+00 0.0000E+00 1.5132E-08 6.17E-06 6.99E-06   0.036 1.0000 7.0135E-06    744.282
 9301.00 0.96017766 1.4770E-23 0.0000E+00 0.0000E+00 1.4770E-08 1.4770E-08 0.0000E+00 0.0000E+00 1.4770E-08 5.96E-06 6.84E-06   0.041 1.0000 6.8637E-06    743.947
 9311.00 0.96171784 1.3254E-23 0.0000E+00 0.0000E+00 1.5094E-08 1.5094E-08 0.0000E+00 0.0000E+00 1.5094E-08 6.09E-06 6.96E-06   0.039 1.0000 6.9849E-06    745.512
 9321.00 0.96093726 1.2736E-23 0.0000E+00 0.0000E+00 1.4892E-08 1.4892E-08 0.0000E+00 0.0000E+00 1.4892E-08 5.98E-06 6.86E-06   0.040 1.0000 6.8861E-06    745.619
 9331.00 0.96068126 1.2010E-23 0.0000E+00 0.0000E+00 1.5185E-08 1.5185E-08 0.0000E+00 0.0000E+00 1.5185E-08 6.08E-06 6.99E-06   0.040 1.0000 7.0103E-06    747.096
 9341.00 0.95983320 1.1499E-23 0.0000E+00 0.0000E+00 1.5129E-08 1.5129E-08 0.0000E+00 0.0000E+00 1.5129E-08 6.04E-06 6.96E-06   0.041 1.0000 6.9794E-06    747.610
 9351.00 0.95757145 1.1539E-23 0.0000E+00 0.0000E+00 1.4518E-08 1.4518E-08 0.0000E+00 0.0000E+00 1.4518E-08 5.75E-06 6.68E-06   0.043 1.0000 6.7060E-06    746.565
 9361.00 0.95700896 1.0722E-23 0.0000E+00 0.0000E+00 1.4967E-08 1.4967E-08 0.0000E+00 0.0000E+00 1.4967E-08 5.92E-06 6.89E-06   0.044 1.0000 6.9146E-06    748.496
 9371.00 0.95624632 1.0384E-23 0.0000E+00 0.0000E+00 1.5189E-08 1.5189E-08 0.0000E+00 0.0000E+00 1.5189E-08 5.98E-06 6.98E-06   0.045 1.0000 7.0062E-06    749.774
 9381.00 0.95638829 9.7682E-24 0.0000E+00 0.0000E+00 1.5158E-08 1.5158E-08 0.0000E+00 0.0000E+00 1.5158E-08 5.95E-06 6.95E-06   0.045 1.0000 6.9727E-06    750.356
 9391.00 0.95606822 9.4153E-24 0.0000E+00 0.0000E+00 1.5457E-08 1.5457E-08 0.0000E+00 0.0000E+00 1.5457E-08 6.05E-06 7.07E-06   0.045 1.0000 7.0927E-06    751.840
 9401.00 0.95709044 8.7613E-24 0.0000E+00 0.0000E+00 1.5414E-08 1.5414E-08 0.0000E+00 0.0000E+00 1.5414E-08 6.02E-06 7.01E-06   0.044 1.0000 7.0394E-06    752.388
 9411.00 0.95751405 8.3503E-24 0.0000E+00 0.0000E+00 1.5441E-08 1.5441E-08 0.0000E+00 0.0000E+00 1.5441E-08 6.02E-06 7.00E-06   0.043 1.0000 7.0221E-06    753.128
 9421.00 0.95840538 7.7902E-24 0.0000E+00 0.0000E+00 1.5473E-08 1.5473E-08 0.0000E+00 0.0000E+00 1.5473E-08 6.02E-06 6.98E-06   0.042 1.0000 7.0055E-06    753.882
 9431.00 0.95884156 7.3595E-24 0.0000E+00 0.0000E+00 1.5447E-08 1.5447E-08 0.0000E+00 0.0000E+00 1.5447E-08 6.00E-06 6.94E-06   0.042 1.0000 6.9676E-06    754.479
 9441.00 0.95930326 6.9600E-24 0.0000E+00 0.0000E+00 1.5462E-08 1.5462E-08 0.0000E+00 0.0000E+00 1.5462E-08 5.99E-06 6.92E-06   0.042 1.0000 6.9484E-06    755.185
 9451.00 0.96008140 6.5418E-24 0.0000E+00 0.0000E+00 1.5589E-08 1.5589E-08 0.0000E+00 0.0000E+00 1.5589E-08 6.04E-06 6.95E-06   0.041 1.0000 6.9764E-06    756.195
 9461.00 0.96099305 6.1273E-24 0.0000E+00 0.0000E+00 1.5907E-08 1.5907E-08 0.0000E+00 0.0000E+00 1.5907E-08 6.15E-06 7.07E-06   0.040 1.0000 7.0891E-06    757.712
 9471.00 0.96179616 5.7563E-24 0.0000E+00 0.0000E+00 1.5974E-08 1.5974E-08 0.0000E+00 0.0000E+00 1.5974E-08 6.17E-06 7.07E-06   0.039 1.0000 7.0904E-06    758.556
 9481.00 0.96248567 5.4117E-24 0.0000E+00 0.0000E+00 1.6020E-08 1.6020E-08 0.0000E+00 0.0000E+00 1.6020E-08 6.18E-06 7.06E-06   0.038 1.0000 7.0848E-06    759.346
 9491.00 0.96299833 5.1010E-24 0.0000E+00 0.0000E+00 1.5942E-08 1.5942E-08 0.0000E+00 0.0000E+00 1.5942E-08 6.14E-06 7.00E-06   0.038 1.0000 7.0271E-06    759.806
 9501.00 0.96330655 4.8314E-24 0.0000E+00 0.0000E+00 1.6077E-08 1.6077E-08 0.0000E+00 0.0000E+00 1.6077E-08 6.19E-06 7.04E-06   0.037 1.0000 7.0663E-06    760.831
 9511.00 0.96369380 4.5727E-24 0.0000E+00 0.0000E+00 1.6142E-08 1.6142E-08 0.0000E+00 0.0000E+00 1.6142E-08 6.20E-06 7.05E-06   0.037 1.0000 7.0729E-06    761.668
 9521.00 0.96387690 4.3308E-24 0.0000E+00 0.0000E+00 1.6173E-08 1.6173E-08 0.0000E+00 0.0000E+00 1.6173E-08 6.20E-06 7.04E-06   0.037 1.0000 7.0689E-06    762.417
 9531.00 0.96395522 4.1162E-24 0.0000E+00 0.0000E+00 1.6246E-08 1.6246E-08 0.0000E+00 0.0000E+00 1.6246E-08 6.21E-06 7.06E-06   0.037 1.0000 7.0837E-06    763.275
 9541.00 0.96455532 3.8903E-24 0.0000E+00 0.0000E+00 1.6309E-08 1.6309E-08 0.0000E+00 0.0000E+00 1.6309E-08 6.23E-06 7.06E-06   0.036 1.0000 7.0847E-06    764.108
 9551.00 0.96466613 3.6985E-24 0.0000E+00 0.0000E+00 1.6197E-08 1.6197E-08 0.0000E+00 0.0000E+00 1.6197E-08 6.17E-06 6.99E-06   0.036 1.0000 7.0183E-06    764.480
 9561.00 0.96474713 3.5168E-24 0.0000E+00 0.0000E+00 1.6064E-08 1.6064E-08 0.0000E+00 0.0000E+00 1.6064E-08 6.11E-06 6.92E-06   0.036 1.0000 6.9440E-06    764.797
 9571.00 0.96479148 3.3486E-24 0.0000E+00 0.0000E+00 1.6402E-08 1.6402E-08 0.0000E+00 0.0000E+00 1.6402E-08 6.22E-06 7.05E-06   0.036 1.0000 7.0733E-06    766.351
 9581.00 0.96486664 3.1826E-24 0.0000E+00 0.0000E+00 1.6465E-08 1.6465E-08 0.0000E+00 0.0000E+00 1.6465E-08 6.23E-06 7.06E-06   0.036 1.0000 7.0833E-06    767.180
 9591.00 0.96482927 3.0364E-24 0.0000E+00 0.0000E+00 1.6391E-08 1.6391E-08 0.0000E+00 0.0000E+00 1.6391E-08 6.19E-06 7.01E-06   0.036 1.0000 7.0362E-06    767.657
 9601.00 0.96474475 2.9000E-24 0.0000E+00 0.0000E+00 1.6576E-08 1.6576E-08 0.0000E+00 0.0000E+00 1.6576E-08 6.25E-06 7.08E-06   0.036 1.0000 7.1006E-06    768.803
 9611.00 0.96476698 2.7567E-24 0.0000E+00 0.0000E+00 1.6515E-08 1.6515E-08 0.0000E+00 0.0000E+00 1.6515E-08 6.21E-06 7.03E-06   0.036 1.0000 7.0589E-06    769.312
 9621.00 0.96472538 2.6274E-24 0.0000E+00 0.0000E+00 1.6539E-08 1.6539E-08 0.0000E+00 0.0000E+00 1.6539E-08 6.21E-06 7.03E-06   0.036 1.0000 7.0542E-06    770.042
 9631.00 0.96471614 2.5048E-24 0.0000E+00 0.0000E+00 1.6566E-08 1.6566E-08 0.0000E+00 0.0000E+00 1.6566E-08 6.20E-06 7.03E-06   0.036 1.0000 7.0494E-06    770.777
 9641.00 0.96456552 2.3889E-24 0.0000E+00 0.0000E+00 1.6489E-08 1.6489E-08 0.0000E+00 0.0000E+00 1.6489E-08 6.16E-06 6.98E-06   0.036 1.0000 7.0036E-06    771.244
 9651.00 0.96460903 2.2797E-24 0.0000E+00 0.0000E+00 1.6780E-08 1.6780E-08 0.0000E+00 0.0000E+00 1.6780E-08 6.25E-06 7.09E-06   0.036 1.0000 7.1097E-06    772.662
 9661.00 0.96474111 2.1623E-24 0.0000E+00 0.0000E+00 1.6623E-08 1.6623E-08 0.0000E+00 0.0000E+00 1.6623E-08 6.18E-06 7.00E-06   0.036 1.0000 7.0258E-06    772.924
 9671.00 0.96457040 2.0712E-24 0.0000E+00 0.0000E+00 1.6660E-08 1.6660E-08 0.0000E+00 0.0000E+00 1.6660E-08 6.18E-06 7.00E-06   0.036 1.0000 7.0276E-06    773.687
 9681.00 0.96454120 1.9738E-24 0.0000E+00 0.0000E+00 1.6649E-08 1.6649E-08 0.0000E+00 0.0000E+00 1.6649E-08 6.16E-06 6.98E-06   0.036 1.0000 7.0080E-06    774.326
 9691.00 0.96431768 1.8928E-24 0.0000E+00 0.0000E+00 1.6918E-08 1.6918E-08 0.0000E+00 0.0000E+00 1.6918E-08 6.24E-06 7.08E-06   0.036 1.0000 7.1079E-06    775.684
 9701.00 0.96416128 1.8122E-24 0.0000E+00 0.0000E+00 1.6928E-08 1.6928E-08 0.0000E+00 0.0000E+00 1.6928E-08 6.23E-06 7.07E-06   0.036 1.0000 7.0980E-06    776.375
 9711.00 0.96416676 1.7235E-24 0.0000E+00 0.0000E+00 1.6928E-08 1.6928E-08 0.0000E+00 0.0000E+00 1.6928E-08 6.22E-06 7.06E-06   0.036 1.0000 7.0827E-06    777.042
 9721.00 0.96342701 1.6836E-24 0.0000E+00 0.0000E+00 1.6962E-08 1.6962E-08 0.0000E+00 0.0000E+00 1.6962E-08 6.21E-06 7.06E-06   0.037 1.0000 7.0883E-06    777.795
 9731.00 0.96261233 1.6471E-24 0.0000E+00 0.0000E+00 1.7076E-08 1.7076E-08 0.0000E+00 0.0000E+00 1.7076E-08 6.22E-06 7.10E-06   0.038 1.0000 7.1280E-06    778.751
