T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000   5.00000  95.94435  50.00069   0.44687   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  20.00194   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.79183149 2.5733E-23 0.0000E+00 0.0000E+00 4.0549E-08 4.0549E-08 0.0000E+00 0.0000E+00 4.0549E-08 5.35E-06 6.89E-06   0.233 1.0000 6.9214E-06    773.525
 9101.00 0.81620717 2.2327E-23 0.0000E+00 0.0000E+00 4.0356E-08 4.0356E-08 0.0000E+00 0.0000E+00 4.0356E-08 5.38E-06 6.72E-06   0.203 1.0000 6.7529E-06    774.005
 9111.00 0.84487569 1.7913E-23 0.0000E+00 0.0000E+00 4.1288E-08 4.1288E-08 0.0000E+00 0.0000E+00 4.1288E-08 5.60E-06 6.74E-06   0.169 1.0000 6.7702E-06    775.752
 9121.00 0.84259641 1.6964E-23 0.0000E+00 0.0000E+00 4.1257E-08 4.1257E-08 0.0000E+00 0.0000E+00 4.1257E-08 5.58E-06 6.73E-06   0.171 1.0000 6.7570E-06    776.419
 9131.00 0.83669072 1.6779E-23 0.0000E+00 0.0000E+00 4.0985E-08 4.0985E-08 0.0000E+00 0.0000E+00 4.0985E-08 5.50E-06 6.69E-06   0.178 1.0000 6.7175E-06    776.814
 9141.00 0.86803365 1.3064E-23 0.0000E+00 0.0000E+00 4.0188E-08 4.0188E-08 0.0000E+00 0.0000E+00 4.0188E-08 5.49E-06 6.42E-06   0.142 1.0000 6.4440E-06    776.612
 9151.00 0.83665246 1.4722E-23 0.0000E+00 0.0000E+00 4.2039E-08 4.2039E-08 0.0000E+00 0.0000E+00 4.2039E-08 5.62E-06 6.83E-06   0.178 1.0000 6.8615E-06    779.383
 9161.00 0.89180183 9.3632E-24 0.0000E+00 0.0000E+00 4.4072E-08 4.4072E-08 0.0000E+00 0.0000E+00 4.4072E-08 6.09E-06 6.90E-06   0.115 1.0000 6.9345E-06    782.270
 9171.00 0.85586101 1.1771E-23 0.0000E+00 0.0000E+00 4.3593E-08 4.3593E-08 0.0000E+00 0.0000E+00 4.3593E-08 5.87E-06 6.96E-06   0.156 1.0000 6.9883E-06    782.464
 9181.00 0.87206489 1.0175E-23 0.0000E+00 0.0000E+00 4.3463E-08 4.3463E-08 0.0000E+00 0.0000E+00 4.3463E-08 5.89E-06 6.84E-06   0.137 1.0000 6.8738E-06    783.027
 9191.00 0.88900661 8.3464E-24 0.0000E+00 0.0000E+00 4.3896E-08 4.3896E-08 0.0000E+00 0.0000E+00 4.3896E-08 5.99E-06 6.82E-06   0.118 1.0000 6.8531E-06    784.189
 9201.00 0.86718971 9.3435E-24 0.0000E+00 0.0000E+00 4.2963E-08 4.2963E-08 0.0000E+00 0.0000E+00 4.2963E-08 5.77E-06 6.75E-06   0.142 1.0000 6.7792E-06    783.892
 9211.00 0.86864221 8.7637E-24 0.0000E+00 0.0000E+00 4.4701E-08 4.4701E-08 0.0000E+00 0.0000E+00 4.4701E-08 6.00E-06 7.00E-06   0.141 1.0000 7.0277E-06    786.439
 9221.00 0.88066334 7.6906E-24 0.0000E+00 0.0000E+00 4.4815E-08 4.4815E-08 0.0000E+00 0.0000E+00 4.4815E-08 6.03E-06 6.94E-06   0.127 1.0000 6.9689E-06    787.259
 9231.00 0.87830287 7.3644E-24 0.0000E+00 0.0000E+00 4.3728E-08 4.3728E-08 0.0000E+00 0.0000E+00 4.3728E-08 5.86E-06 6.76E-06   0.130 1.0000 6.7955E-06    786.815
 9241.00 0.89101946 6.2395E-24 0.0000E+00 0.0000E+00 4.4124E-08 4.4124E-08 0.0000E+00 0.0000E+00 4.4124E-08 5.95E-06 6.75E-06   0.115 1.0000 6.7842E-06    787.937
 9251.00 0.87980247 6.5678E-24 0.0000E+00 0.0000E+00 4.4726E-08 4.4726E-08 0.0000E+00 0.0000E+00 4.4726E-08 5.97E-06 6.87E-06   0.128 1.0000 6.9007E-06    789.271
 9261.00 0.88497829 5.9372E-24 0.0000E+00 0.0000E+00 4.5584E-08 4.5584E-08 0.0000E+00 0.0000E+00 4.5584E-08 6.09E-06 6.96E-06   0.122 1.0000 6.9947E-06    790.863
 9271.00 0.89374185 5.1825E-24 0.0000E+00 0.0000E+00 4.5167E-08 4.5167E-08 0.0000E+00 0.0000E+00 4.5167E-08 6.05E-06 6.84E-06   0.112 1.0000 6.8762E-06    791.134
 9281.00 0.87637830 5.8117E-24 0.0000E+00 0.0000E+00 4.5884E-08 4.5884E-08 0.0000E+00 0.0000E+00 4.5884E-08 6.05E-06 7.00E-06   0.132 1.0000 7.0330E-06    792.576
 9291.00 0.89273149 4.6796E-24 0.0000E+00 0.0000E+00 4.6290E-08 4.6290E-08 0.0000E+00 0.0000E+00 4.6290E-08 6.16E-06 6.98E-06   0.113 1.0000 7.0135E-06    793.693
 9301.00 0.88397080 4.8237E-24 0.0000E+00 0.0000E+00 4.5201E-08 4.5201E-08 0.0000E+00 0.0000E+00 4.5201E-08 5.96E-06 6.83E-06   0.123 1.0000 6.8637E-06    793.274
 9311.00 0.88578206 4.4748E-24 0.0000E+00 0.0000E+00 4.6159E-08 4.6159E-08 0.0000E+00 0.0000E+00 4.6159E-08 6.08E-06 6.95E-06   0.121 1.0000 6.9849E-06    794.963
 9321.00 0.88215494 4.3755E-24 0.0000E+00 0.0000E+00 4.5526E-08 4.5526E-08 0.0000E+00 0.0000E+00 4.5526E-08 5.96E-06 6.85E-06   0.125 1.0000 6.8861E-06    795.014
 9331.00 0.88010442 4.1953E-24 0.0000E+00 0.0000E+00 4.6396E-08 4.6396E-08 0.0000E+00 0.0000E+00 4.6396E-08 6.05E-06 6.97E-06   0.128 1.0000 7.0103E-06    796.608
 9341.00 0.87660295 4.0656E-24 0.0000E+00 0.0000E+00 4.6199E-08 4.6199E-08 0.0000E+00 0.0000E+00 4.6199E-08 6.00E-06 6.94E-06   0.132 1.0000 6.9794E-06    797.109
 9351.00 0.86991316 4.0606E-24 0.0000E+00 0.0000E+00 4.4315E-08 4.4315E-08 0.0000E+00 0.0000E+00 4.4315E-08 5.72E-06 6.67E-06   0.139 1.0000 6.7060E-06    795.845
 9361.00 0.86579615 3.9092E-24 0.0000E+00 0.0000E+00 4.5641E-08 4.5641E-08 0.0000E+00 0.0000E+00 4.5641E-08 5.86E-06 6.87E-06   0.144 1.0000 6.9146E-06    797.937
 9371.00 0.86319971 3.7836E-24 0.0000E+00 0.0000E+00 4.6300E-08 4.6300E-08 0.0000E+00 0.0000E+00 4.6300E-08 5.92E-06 6.96E-06   0.147 1.0000 7.0062E-06    799.317
 9381.00 0.86286104 3.5880E-24 0.0000E+00 0.0000E+00 4.6191E-08 4.6191E-08 0.0000E+00 0.0000E+00 4.6191E-08 5.89E-06 6.93E-06   0.148 1.0000 6.9727E-06    799.906
 9391.00 0.86232173 3.4300E-24 0.0000E+00 0.0000E+00 4.7111E-08 4.7111E-08 0.0000E+00 0.0000E+00 4.7111E-08 5.98E-06 7.05E-06   0.148 1.0000 7.0927E-06    801.544
 9401.00 0.86526740 3.1886E-24 0.0000E+00 0.0000E+00 4.6984E-08 4.6984E-08 0.0000E+00 0.0000E+00 4.6984E-08 5.96E-06 6.99E-06   0.145 1.0000 7.0394E-06    802.117
 9411.00 0.86713463 3.0026E-24 0.0000E+00 0.0000E+00 4.7082E-08 4.7082E-08 0.0000E+00 0.0000E+00 4.7082E-08 5.96E-06 6.98E-06   0.143 1.0000 7.0221E-06    802.917
 9421.00 0.86981428 2.7955E-24 0.0000E+00 0.0000E+00 4.7188E-08 4.7188E-08 0.0000E+00 0.0000E+00 4.7188E-08 5.97E-06 6.96E-06   0.139 1.0000 7.0055E-06    803.726
 9431.00 0.87132794 2.6277E-24 0.0000E+00 0.0000E+00 4.7119E-08 4.7119E-08 0.0000E+00 0.0000E+00 4.7119E-08 5.95E-06 6.93E-06   0.138 1.0000 6.9676E-06    804.357
 9441.00 0.87306315 2.4674E-24 0.0000E+00 0.0000E+00 4.7177E-08 4.7177E-08 0.0000E+00 0.0000E+00 4.7177E-08 5.94E-06 6.91E-06   0.136 1.0000 6.9484E-06    805.117
 9451.00 0.87585670 2.2995E-24 0.0000E+00 0.0000E+00 4.7582E-08 4.7582E-08 0.0000E+00 0.0000E+00 4.7582E-08 5.99E-06 6.94E-06   0.133 1.0000 6.9764E-06    806.227
 9461.00 0.87908030 2.1345E-24 0.0000E+00 0.0000E+00 4.8573E-08 4.8573E-08 0.0000E+00 0.0000E+00 4.8573E-08 6.11E-06 7.05E-06   0.129 1.0000 7.0891E-06    807.915
 9471.00 0.88203603 1.9850E-24 0.0000E+00 0.0000E+00 4.8797E-08 4.8797E-08 0.0000E+00 0.0000E+00 4.8797E-08 6.14E-06 7.05E-06   0.126 1.0000 7.0904E-06    808.838
 9481.00 0.88453561 1.8504E-24 0.0000E+00 0.0000E+00 4.8956E-08 4.8956E-08 0.0000E+00 0.0000E+00 4.8956E-08 6.15E-06 7.05E-06   0.123 1.0000 7.0848E-06    809.696
 9491.00 0.88644361 1.7313E-24 0.0000E+00 0.0000E+00 4.8731E-08 4.8731E-08 0.0000E+00 0.0000E+00 4.8731E-08 6.12E-06 6.99E-06   0.121 1.0000 7.0271E-06    810.177
 9501.00 0.88775980 1.6279E-24 0.0000E+00 0.0000E+00 4.9159E-08 4.9159E-08 0.0000E+00 0.0000E+00 4.9159E-08 6.16E-06 7.03E-06   0.119 1.0000 7.0663E-06    811.299
 9511.00 0.88920724 1.5297E-24 0.0000E+00 0.0000E+00 4.9368E-08 4.9368E-08 0.0000E+00 0.0000E+00 4.9368E-08 6.18E-06 7.04E-06   0.117 1.0000 7.0729E-06    812.205
 9521.00 0.88991541 1.4431E-24 0.0000E+00 0.0000E+00 4.9471E-08 4.9471E-08 0.0000E+00 0.0000E+00 4.9471E-08 6.18E-06 7.03E-06   0.117 1.0000 7.0689E-06    813.008
 9531.00 0.89026058 1.3669E-24 0.0000E+00 0.0000E+00 4.9698E-08 4.9698E-08 0.0000E+00 0.0000E+00 4.9698E-08 6.20E-06 7.05E-06   0.116 1.0000 7.0837E-06    813.931
 9541.00 0.89228606 1.2802E-24 0.0000E+00 0.0000E+00 4.9900E-08 4.9900E-08 0.0000E+00 0.0000E+00 4.9900E-08 6.21E-06 7.05E-06   0.114 1.0000 7.0847E-06    814.829
 9551.00 0.89275402 1.2115E-24 0.0000E+00 0.0000E+00 4.9562E-08 4.9562E-08 0.0000E+00 0.0000E+00 4.9562E-08 6.16E-06 6.98E-06   0.113 1.0000 7.0183E-06    815.201
 9561.00 0.89310133 1.1474E-24 0.0000E+00 0.0000E+00 4.9159E-08 4.9159E-08 0.0000E+00 0.0000E+00 4.9159E-08 6.10E-06 6.91E-06   0.113 1.0000 6.9440E-06    815.509
 9571.00 0.89332777 1.0881E-24 0.0000E+00 0.0000E+00 5.0198E-08 5.0198E-08 0.0000E+00 0.0000E+00 5.0198E-08 6.21E-06 7.04E-06   0.113 1.0000 7.0733E-06    817.222
 9581.00 0.89358592 1.0310E-24 0.0000E+00 0.0000E+00 5.0390E-08 5.0390E-08 0.0000E+00 0.0000E+00 5.0390E-08 6.22E-06 7.05E-06   0.113 1.0000 7.0833E-06    818.110
 9591.00 0.89357305 9.7966E-25 0.0000E+00 0.0000E+00 5.0169E-08 5.0169E-08 0.0000E+00 0.0000E+00 5.0169E-08 6.18E-06 7.00E-06   0.113 1.0000 7.0362E-06    818.598
 9601.00 0.89342046 9.3201E-25 0.0000E+00 0.0000E+00 5.0737E-08 5.0737E-08 0.0000E+00 0.0000E+00 5.0737E-08 6.24E-06 7.07E-06   0.113 1.0000 7.1006E-06    819.847
 9611.00 0.89346254 8.8434E-25 0.0000E+00 0.0000E+00 5.0551E-08 5.0551E-08 0.0000E+00 0.0000E+00 5.0551E-08 6.20E-06 7.02E-06   0.113 1.0000 7.0589E-06    820.370
 9621.00 0.89338702 8.4036E-25 0.0000E+00 0.0000E+00 5.0628E-08 5.0628E-08 0.0000E+00 0.0000E+00 5.0628E-08 6.20E-06 7.02E-06   0.113 1.0000 7.0542E-06    821.146
 9631.00 0.89344245 7.9798E-25 0.0000E+00 0.0000E+00 5.0711E-08 5.0711E-08 0.0000E+00 0.0000E+00 5.0711E-08 6.19E-06 7.01E-06   0.113 1.0000 7.0494E-06    821.927
 9641.00 0.89295095 7.6042E-25 0.0000E+00 0.0000E+00 5.0475E-08 5.0475E-08 0.0000E+00 0.0000E+00 5.0475E-08 6.15E-06 6.97E-06   0.113 1.0000 7.0036E-06    822.401
 9651.00 0.89322454 7.2165E-25 0.0000E+00 0.0000E+00 5.1370E-08 5.1370E-08 0.0000E+00 0.0000E+00 5.1370E-08 6.24E-06 7.07E-06   0.113 1.0000 7.1097E-06    823.961
 9661.00 0.89358300 6.8296E-25 0.0000E+00 0.0000E+00 5.0889E-08 5.0889E-08 0.0000E+00 0.0000E+00 5.0889E-08 6.17E-06 6.99E-06   0.113 1.0000 7.0258E-06    824.203
 9671.00 0.89321429 6.5121E-25 0.0000E+00 0.0000E+00 5.1006E-08 5.1006E-08 0.0000E+00 0.0000E+00 5.1006E-08 6.17E-06 6.99E-06   0.113 1.0000 7.0276E-06    825.016
 9681.00 0.89314348 6.1891E-25 0.0000E+00 0.0000E+00 5.0974E-08 5.0974E-08 0.0000E+00 0.0000E+00 5.0974E-08 6.15E-06 6.97E-06   0.113 1.0000 7.0080E-06    825.687
 9691.00 0.89261109 5.9086E-25 0.0000E+00 0.0000E+00 5.1800E-08 5.1800E-08 0.0000E+00 0.0000E+00 5.1800E-08 6.24E-06 7.07E-06   0.114 1.0000 7.1079E-06    827.176
 9701.00 0.89225113 5.6359E-25 0.0000E+00 0.0000E+00 5.1832E-08 5.1832E-08 0.0000E+00 0.0000E+00 5.1832E-08 6.23E-06 7.06E-06   0.114 1.0000 7.0980E-06    827.908
 9711.00 0.89223403 5.3500E-25 0.0000E+00 0.0000E+00 5.1833E-08 5.1833E-08 0.0000E+00 0.0000E+00 5.1833E-08 6.21E-06 7.05E-06   0.114 1.0000 7.0827E-06    828.611
 9721.00 0.89050478 5.1782E-25 0.0000E+00 0.0000E+00 5.1943E-08 5.1943E-08 0.0000E+00 0.0000E+00 5.1943E-08 6.20E-06 7.05E-06   0.116 1.0000 7.0883E-06    829.416
 9731.00 0.88856643 5.0152E-25 0.0000E+00 0.0000E+00 5.2294E-08 5.2294E-08 0.0000E+00 0.0000E+00 5.2294E-08 6.22E-06 7.09E-06   0.118 1.0000 7.1280E-06    830.449
 9741.00 0.89053375 4.6624E-25 0.0000E+00 0.0000E+00 5.2367E-08 5.2367E-08 0.0000E+00 0.0000E+00 5.2367E-08 6.23E-06 7.08E-06   0.116 1.0000 7.1148E-06    831.219
 9751.00 0.89007348 4.4479E-25 0.0000E+00 0.0000E+00 5.2548E-08 5.2548E-08 0.0000E+00 0.0000E+00 5.2548E-08 6.23E-06 7.09E-06   0.116 1.0000 7.1256E-06    832.091
 9761.00 0.88806701 4.3033E-25 0.0000E+00 0.0000E+00 5.2506E-08 5.2506E-08 0.0000E+00 0.0000E+00 5.2506E-08 6.21E-06 7.08E-06   0.119 1.0000 7.1121E-06    832.753
 9771.00 0.88388675 4.2721E-25 0.0000E+00 0.0000E+00 5.2591E-08 5.2591E-08 0.0000E+00 0.0000E+00 5.2591E-08 6.18E-06 7.09E-06   0.123 1.0000 7.1242E-06    833.534
 9781.00 0.88894379 3.8468E-25 0.0000E+00 0.0000E+00 5.2262E-08 5.2262E-08 0.0000E+00 0.0000E+00 5.2262E-08 6.15E-06 7.01E-06   0.118 1.0000 7.0450E-06    833.925
 9791.00 0.88898242 3.6538E-25 0.0000E+00 0.0000E+00 5.2332E-08 5.2332E-08 0.0000E+00 0.0000E+00 5.2332E-08 6.15E-06 7.00E-06   0.118 1.0000 7.0386E-06    834.693
 9801.00 0.88892597 3.4656E-25 0.0000E+00 0.0000E+00 5.2568E-08 5.2568E-08 0.0000E+00 0.0000E+00 5.2568E-08 6.16E-06 7.02E-06   0.118 1.0000 7.0554E-06    835.616
 9811.00 0.88396341 3.4619E-25 0.0000E+00 0.0000E+00 5.1971E-08 5.1971E-08 0.0000E+00 0.0000E+00 5.1971E-08 6.06E-06 6.94E-06   0.123 1.0000 6.9787E-06    835.751
 9821.00 0.89004600 3.0866E-25 0.0000E+00 0.0000E+00 5.2885E-08 5.2885E-08 0.0000E+00 0.0000E+00 5.2885E-08 6.18E-06 7.03E-06   0.116 1.0000 7.0623E-06    837.316
 9831.00 0.88785487 3.0003E-25 0.0000E+00 0.0000E+00 5.3046E-08 5.3046E-08 0.0000E+00 0.0000E+00 5.3046E-08 6.17E-06 7.04E-06   0.119 1.0000 7.0767E-06    838.168
 9841.00 0.88879782 2.8157E-25 0.0000E+00 0.0000E+00 5.3027E-08 5.3027E-08 0.0000E+00 0.0000E+00 5.3027E-08 6.16E-06 7.02E-06   0.118 1.0000 7.0554E-06    838.852
 9851.00 0.88640428 2.7401E-25 0.0000E+00 0.0000E+00 5.3044E-08 5.3044E-08 0.0000E+00 0.0000E+00 5.3044E-08 6.14E-06 7.01E-06   0.121 1.0000 7.0514E-06    839.568
 9861.00 0.88770676 2.5697E-25 0.0000E+00 0.0000E+00 5.3591E-08 5.3591E-08 0.0000E+00 0.0000E+00 5.3591E-08 6.19E-06 7.07E-06   0.119 1.0000 7.1034E-06    840.780
 9871.00 0.88783580 2.4327E-25 0.0000E+00 0.0000E+00 5.3764E-08 5.3764E-08 0.0000E+00 0.0000E+00 5.3764E-08 6.20E-06 7.07E-06   0.119 1.0000 7.1106E-06    841.641
 9881.00 0.88403445 2.3994E-25 0.0000E+00 0.0000E+00 5.3782E-08 5.3782E-08 0.0000E+00 0.0000E+00 5.3782E-08 6.17E-06 7.07E-06   0.123 1.0000 7.1125E-06    842.359
 9891.00 0.88679290 2.2165E-25 0.0000E+00 0.0000E+00 5.3998E-08 5.3998E-08 0.0000E+00 0.0000E+00 5.3998E-08 6.20E-06 7.08E-06   0.120 1.0000 7.1147E-06    843.260
 9901.00 0.87842309 2.2779E-25 0.0000E+00 0.0000E+00 5.3976E-08 5.3976E-08 0.0000E+00 0.0000E+00 5.3976E-08 6.15E-06 7.09E-06   0.130 1.0000 7.1297E-06    843.941
 9911.00 0.87744725 2.1855E-25 0.0000E+00 0.0000E+00 5.3912E-08 5.3912E-08 0.0000E+00 0.0000E+00 5.3912E-08 6.12E-06 7.07E-06   0.131 1.0000 7.1100E-06    844.583
 9921.00 0.88290304 1.9711E-25 0.0000E+00 0.0000E+00 5.4247E-08 5.4247E-08 0.0000E+00 0.0000E+00 5.4247E-08 6.17E-06 7.08E-06   0.125 1.0000 7.1166E-06    845.594
 9931.00 0.88584322 1.8168E-25 0.0000E+00 0.0000E+00 5.4135E-08 5.4135E-08 0.0000E+00 0.0000E+00 5.4135E-08 6.15E-06 7.04E-06   0.121 1.0000 7.0750E-06    846.191
 9941.00 0.88423836 1.7518E-25 0.0000E+00 0.0000E+00 5.2407E-08 5.2407E-08 0.0000E+00 0.0000E+00 5.2407E-08 5.94E-06 6.80E-06   0.123 1.0000 6.8405E-06    845.267
 9951.00 0.88429141 1.6637E-25 0.0000E+00 0.0000E+00 5.1418E-08 5.1418E-08 0.0000E+00 0.0000E+00 5.1418E-08 5.81E-06 6.66E-06   0.123 1.0000 6.6965E-06    845.016
 9961.00 0.88223499 1.6112E-25 0.0000E+00 0.0000E+00 5.3964E-08 5.3964E-08 0.0000E+00 0.0000E+00 5.3964E-08 6.08E-06 6.98E-06   0.125 1.0000 7.0208E-06    848.133
 9971.00 0.88263607 1.5214E-25 0.0000E+00 0.0000E+00 5.4620E-08 5.4620E-08 0.0000E+00 0.0000E+00 5.4620E-08 6.14E-06 7.05E-06   0.125 1.0000 7.0893E-06    849.441
 9981.00 0.87266719 1.5832E-25 0.0000E+00 0.0000E+00 5.4861E-08 5.4861E-08 0.0000E+00 0.0000E+00 5.4861E-08 6.11E-06 7.11E-06   0.136 1.0000 7.1451E-06    850.363
 9991.00 0.88489860 1.3422E-25 0.0000E+00 0.0000E+00 5.5306E-08 5.5306E-08 0.0000E+00 0.0000E+00 5.5306E-08 6.20E-06 7.10E-06   0.122 1.0000 7.1388E-06    851.471
10001.00 0.88177258 1.3147E-25 0.0000E+00 0.0000E+00 5.5054E-08 5.5054E-08 0.0000E+00 0.0000E+00 5.5054E-08 6.15E-06 7.06E-06   0.126 1.0000 7.1031E-06    851.942
10011.00 0.88337141 1.2284E-25 0.0000E+00 0.0000E+00 5.5313E-08 5.5313E-08 0.0000E+00 0.0000E+00 5.5313E-08 6.17E-06 7.08E-06   0.124 1.0000 7.1150E-06    852.879
