T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  50.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000   3.00000 101.67749  35.00049   0.30808   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.01456   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.74204427 2.5917E-22 0.0000E+00 0.0000E+00 3.5036E-08 3.5036E-08 0.0000E+00 0.0000E+00 3.5036E-08 4.44E-06 6.83E-06   0.298 1.0000 6.9214E-06    766.897
 9101.00 0.77499455 2.2183E-22 0.0000E+00 0.0000E+00 3.5139E-08 3.5139E-08 0.0000E+00 0.0000E+00 3.5139E-08 4.58E-06 6.67E-06   0.255 1.0000 6.7529E-06    767.723
 9111.00 0.81770790 1.6835E-22 0.0000E+00 0.0000E+00 3.6385E-08 3.6385E-08 0.0000E+00 0.0000E+00 3.6385E-08 4.97E-06 6.69E-06   0.201 1.0000 6.7702E-06    769.992
 9121.00 0.81606561 1.5803E-22 0.0000E+00 0.0000E+00 3.6353E-08 3.6353E-08 0.0000E+00 0.0000E+00 3.6353E-08 4.95E-06 6.68E-06   0.203 1.0000 6.7570E-06    770.648
 9131.00 0.80734962 1.5943E-22 0.0000E+00 0.0000E+00 3.6025E-08 3.6025E-08 0.0000E+00 0.0000E+00 3.6025E-08 4.84E-06 6.64E-06   0.214 1.0000 6.7175E-06    770.934
 9141.00 0.85173047 1.1653E-22 0.0000E+00 0.0000E+00 3.5715E-08 3.5715E-08 0.0000E+00 0.0000E+00 3.5715E-08 4.99E-06 6.37E-06   0.160 1.0000 6.4440E-06    771.238
 9151.00 0.80999196 1.3708E-22 0.0000E+00 0.0000E+00 3.7012E-08 3.7012E-08 0.0000E+00 0.0000E+00 3.7012E-08 4.99E-06 6.77E-06   0.211 1.0000 6.8615E-06    773.551
 9161.00 0.88973612 7.2088E-23 0.0000E+00 0.0000E+00 3.9580E-08 3.9580E-08 0.0000E+00 0.0000E+00 3.9580E-08 5.72E-06 6.85E-06   0.117 1.0000 6.9345E-06    777.311
 9171.00 0.83891237 1.0383E-22 0.0000E+00 0.0000E+00 3.8665E-08 3.8665E-08 0.0000E+00 0.0000E+00 3.8665E-08 5.33E-06 6.90E-06   0.176 1.0000 6.9883E-06    776.937
 9181.00 0.86046350 8.7507E-23 0.0000E+00 0.0000E+00 3.8723E-08 3.8723E-08 0.0000E+00 0.0000E+00 3.8723E-08 5.40E-06 6.79E-06   0.150 1.0000 6.8738E-06    777.704
