T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  50.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000   3.00000  98.25085  50.00057   0.44477   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.01456   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.67026079 3.1784E-22 0.0000E+00 0.0000E+00 4.8261E-08 4.8261E-08 0.0000E+00 0.0000E+00 4.8261E-08 4.05E-06 6.83E-06   0.400 1.0000 6.9214E-06    781.572
 9101.00 0.70698994 2.7652E-22 0.0000E+00 0.0000E+00 4.8558E-08 4.8558E-08 0.0000E+00 0.0000E+00 4.8558E-08 4.21E-06 6.67E-06   0.347 1.0000 6.7529E-06    782.564
 9111.00 0.75989658 2.1269E-22 0.0000E+00 0.0000E+00 5.0578E-08 5.0578E-08 0.0000E+00 0.0000E+00 5.0578E-08 4.64E-06 6.69E-06   0.275 1.0000 6.7702E-06    785.182
 9121.00 0.75840104 1.9943E-22 0.0000E+00 0.0000E+00 5.0525E-08 5.0525E-08 0.0000E+00 0.0000E+00 5.0525E-08 4.62E-06 6.68E-06   0.277 1.0000 6.7570E-06    785.840
 9131.00 0.74725902 2.0103E-22 0.0000E+00 0.0000E+00 5.0005E-08 5.0005E-08 0.0000E+00 0.0000E+00 5.0005E-08 4.50E-06 6.64E-06   0.291 1.0000 6.7175E-06    786.060
 9141.00 0.80018854 1.5211E-22 0.0000E+00 0.0000E+00 4.9832E-08 4.9832E-08 0.0000E+00 0.0000E+00 4.9832E-08 4.70E-06 6.37E-06   0.223 1.0000 6.4440E-06    786.603
 9151.00 0.75328875 1.7119E-22 0.0000E+00 0.0000E+00 5.1439E-08 5.1439E-08 0.0000E+00 0.0000E+00 5.1439E-08 4.67E-06 6.77E-06   0.283 1.0000 6.8615E-06    788.806
 9161.00 0.84804362 9.7994E-23 0.0000E+00 0.0000E+00 5.5497E-08 5.5497E-08 0.0000E+00 0.0000E+00 5.5497E-08 5.46E-06 6.85E-06   0.165 1.0000 6.9345E-06    793.121
 9171.00 0.78759784 1.3213E-22 0.0000E+00 0.0000E+00 5.3905E-08 5.3905E-08 0.0000E+00 0.0000E+00 5.3905E-08 5.02E-06 6.90E-06   0.239 1.0000 6.9883E-06    792.443
 9181.00 0.81123984 1.1494E-22 0.0000E+00 0.0000E+00 5.4084E-08 5.4084E-08 0.0000E+00 0.0000E+00 5.4084E-08 5.11E-06 6.79E-06   0.209 1.0000 6.8738E-06    793.308
