T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  20.00000  20.00000  90.02193   5.00253   0.04485   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  20.00044   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.99891192 1.1843E-29 0.0000E+00 0.0000E+00 5.5609E-10 5.5609E-10 0.0000E+00 0.0000E+00 5.5609E-10 6.91E-06 6.91E-06   0.001 1.0000 6.9214E-06    617.011
 9101.00 0.99891341 1.1112E-29 0.0000E+00 0.0000E+00 5.4427E-10 5.4427E-10 0.0000E+00 0.0000E+00 5.4427E-10 6.74E-06 6.75E-06   0.001 1.0000 6.7529E-06    616.969
 9111.00 0.99891216 1.0454E-29 0.0000E+00 0.0000E+00 5.4743E-10 5.4743E-10 0.0000E+00 0.0000E+00 5.4743E-10 6.76E-06 6.76E-06   0.001 1.0000 6.7702E-06    617.719
 9121.00 0.99890774 9.8600E-30 0.0000E+00 0.0000E+00 5.4812E-10 5.4812E-10 0.0000E+00 0.0000E+00 5.4812E-10 6.74E-06 6.75E-06   0.001 1.0000 6.7570E-06    618.338
 9131.00 0.99890214 9.3121E-30 0.0000E+00 0.0000E+00 5.4664E-10 5.4664E-10 0.0000E+00 0.0000E+00 5.4664E-10 6.70E-06 6.71E-06   0.001 1.0000 6.7175E-06    618.842
