T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  10.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000  10.00000  90.04181  10.00068   0.08979   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  20.00194   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.98636967 8.8038E-27 0.0000E+00 0.0000E+00 2.8020E-09 2.8020E-09 0.0000E+00 0.0000E+00 2.8020E-09 6.79E-06 6.89E-06   0.014 1.0000 6.9214E-06    667.967
 9101.00 0.98919493 6.6114E-27 0.0000E+00 0.0000E+00 2.7475E-09 2.7475E-09 0.0000E+00 0.0000E+00 2.7475E-09 6.65E-06 6.72E-06   0.011 1.0000 6.7529E-06    667.920
 9111.00 0.99087811 5.2735E-27 0.0000E+00 0.0000E+00 2.7667E-09 2.7667E-09 0.0000E+00 0.0000E+00 2.7667E-09 6.68E-06 6.74E-06   0.009 1.0000 6.7702E-06    668.779
 9121.00 0.99057180 5.1004E-27 0.0000E+00 0.0000E+00 2.7700E-09 2.7700E-09 0.0000E+00 0.0000E+00 2.7700E-09 6.66E-06 6.73E-06   0.009 1.0000 6.7570E-06    669.441
 9131.00 0.99011725 5.0771E-27 0.0000E+00 0.0000E+00 2.7621E-09 2.7621E-09 0.0000E+00 0.0000E+00 2.7621E-09 6.62E-06 6.69E-06   0.010 1.0000 6.7175E-06    669.965
 9141.00 0.99208498 3.8420E-27 0.0000E+00 0.0000E+00 2.6616E-09 2.6616E-09 0.0000E+00 0.0000E+00 2.6616E-09 6.37E-06 6.42E-06   0.008 1.0000 6.4440E-06    669.322
 9151.00 0.98893619 5.0470E-27 0.0000E+00 0.0000E+00 2.8379E-09 2.8379E-09 0.0000E+00 0.0000E+00 2.8379E-09 6.75E-06 6.83E-06   0.011 1.0000 6.8615E-06    672.135
 9161.00 0.99275243 3.1353E-27 0.0000E+00 0.0000E+00 2.8843E-09 2.8843E-09 0.0000E+00 0.0000E+00 2.8843E-09 6.85E-06 6.90E-06   0.007 1.0000 6.9345E-06    673.315
 9171.00 0.99078411 3.7478E-27 0.0000E+00 0.0000E+00 2.9127E-09 2.9127E-09 0.0000E+00 0.0000E+00 2.9127E-09 6.89E-06 6.96E-06   0.009 1.0000 6.9883E-06    674.274
 9181.00 0.99209261 3.0402E-27 0.0000E+00 0.0000E+00 2.8766E-09 2.8766E-09 0.0000E+00 0.0000E+00 2.8766E-09 6.79E-06 6.84E-06   0.008 1.0000 6.8738E-06    674.468
 9191.00 0.99295998 2.5511E-27 0.0000E+00 0.0000E+00 2.8790E-09 2.8790E-09 0.0000E+00 0.0000E+00 2.8790E-09 6.78E-06 6.82E-06   0.007 1.0000 6.8531E-06    675.118
 9201.00 0.99131000 2.9592E-27 0.0000E+00 0.0000E+00 2.8545E-09 2.8545E-09 0.0000E+00 0.0000E+00 2.8545E-09 6.69E-06 6.75E-06   0.009 1.0000 6.7792E-06    675.446
 9211.00 0.99125832 2.8365E-27 0.0000E+00 0.0000E+00 2.9688E-09 2.9688E-09 0.0000E+00 0.0000E+00 2.9688E-09 6.93E-06 7.00E-06   0.009 1.0000 7.0277E-06    677.423
 9221.00 0.99246716 2.2916E-27 0.0000E+00 0.0000E+00 2.9558E-09 2.9558E-09 0.0000E+00 0.0000E+00 2.9558E-09 6.89E-06 6.94E-06   0.008 1.0000 6.9689E-06    677.895
 9231.00 0.99213791 2.2655E-27 0.0000E+00 0.0000E+00 2.8910E-09 2.8910E-09 0.0000E+00 0.0000E+00 2.8910E-09 6.71E-06 6.76E-06   0.008 1.0000 6.7955E-06    677.749
 9241.00 0.99280733 1.9490E-27 0.0000E+00 0.0000E+00 2.8969E-09 2.8969E-09 0.0000E+00 0.0000E+00 2.8969E-09 6.71E-06 6.75E-06   0.007 1.0000 6.7842E-06    678.442
 9251.00 0.99221987 1.9918E-27 0.0000E+00 0.0000E+00 2.9552E-09 2.9552E-09 0.0000E+00 0.0000E+00 2.9552E-09 6.82E-06 6.87E-06   0.008 1.0000 6.9007E-06    679.755
 9261.00 0.99237496 1.8460E-27 0.0000E+00 0.0000E+00 3.0053E-09 3.0053E-09 0.0000E+00 0.0000E+00 3.0053E-09 6.91E-06 6.96E-06   0.008 1.0000 6.9947E-06    680.961
 9271.00 0.99276841 1.6488E-27 0.0000E+00 0.0000E+00 2.9647E-09 2.9647E-09 0.0000E+00 0.0000E+00 2.9647E-09 6.80E-06 6.84E-06   0.007 1.0000 6.8762E-06    681.111
 9281.00 0.99195462 1.7320E-27 0.0000E+00 0.0000E+00 3.0407E-09 3.0407E-09 0.0000E+00 0.0000E+00 3.0407E-09 6.94E-06 7.00E-06   0.008 1.0000 7.0330E-06    682.614
 9291.00 0.99247372 1.5290E-27 0.0000E+00 0.0000E+00 3.0430E-09 3.0430E-09 0.0000E+00 0.0000E+00 3.0430E-09 6.93E-06 6.98E-06   0.008 1.0000 7.0135E-06    683.263
 9301.00 0.99197125 1.5376E-27 0.0000E+00 0.0000E+00 2.9866E-09 2.9866E-09 0.0000E+00 0.0000E+00 2.9866E-09 6.78E-06 6.83E-06   0.008 1.0000 6.8637E-06    683.233
 9311.00 0.99181551 1.4815E-27 0.0000E+00 0.0000E+00 3.0487E-09 3.0487E-09 0.0000E+00 0.0000E+00 3.0487E-09 6.89E-06 6.95E-06   0.008 1.0000 6.9849E-06    684.574
 9321.00 0.99142969 1.4625E-27 0.0000E+00 0.0000E+00 3.0144E-09 3.0144E-09 0.0000E+00 0.0000E+00 3.0144E-09 6.79E-06 6.85E-06   0.009 1.0000 6.8861E-06    684.800
