T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000 100.00000  30.00000 109.43472   0.48454   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    1995.0    3335.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 1995.00  0.9183 7.87E-07 8.57E-07                                                              8.522E-02
 1996.00  0.9437 8.14E-07 8.62E-07                                                              5.793E-02
 1997.00  0.9477 8.16E-07 8.61E-07                                                              5.367E-02
 1998.00  0.8886 7.64E-07 8.60E-07                                                              1.182E-01
 1999.00  0.3836 3.32E-07 8.64E-07                                                              9.581E-01
 2000.00  0.8950 7.76E-07 8.67E-07                                                              1.110E-01
 2001.00  0.9581 8.27E-07 8.64E-07                                                              4.276E-02
 2002.00  0.9737 8.40E-07 8.62E-07                                                              2.666E-02
 2003.00  0.9645 8.38E-07 8.69E-07                                                              3.610E-02
 2004.00  0.9739 8.45E-07 8.68E-07                                                              2.643E-02
 2005.00  0.9760 8.46E-07 8.67E-07                                                              2.432E-02
 2006.00  0.9340 8.10E-07 8.68E-07                                                              6.833E-02
 2007.00  0.8932 7.80E-07 8.73E-07                                                              1.130E-01
 2008.00  0.5910 5.16E-07 8.74E-07                                                              5.259E-01
 2009.00  0.6566 5.73E-07 8.72E-07                                                              4.207E-01
 2010.00  0.9089 7.95E-07 8.75E-07                                                              9.556E-02
 2011.00  0.9602 8.38E-07 8.73E-07                                                              4.063E-02
 2012.00  0.9647 8.46E-07 8.77E-07                                                              3.592E-02
 2013.00  0.9651 8.47E-07 8.77E-07                                                              3.557E-02
 2014.00  0.9465 8.30E-07 8.77E-07                                                              5.493E-02
 2015.00  0.9143 8.00E-07 8.75E-07                                                              8.955E-02
 2016.00  0.6805 5.97E-07 8.78E-07                                                              3.849E-01
 2017.00  0.1761 1.55E-07 8.78E-07                                                              1.737E+00
 2018.00  0.4232 3.72E-07 8.79E-07                                                              8.598E-01
 2019.00  0.3377 2.97E-07 8.78E-07                                                              1.086E+00
 2020.00  0.8854 7.80E-07 8.81E-07                                                              1.217E-01
 2021.00  0.9300 8.20E-07 8.81E-07                                                              7.254E-02
 2022.00  0.9508 8.38E-07 8.81E-07                                                              5.044E-02
 2023.00  0.5843 5.14E-07 8.79E-07                                                              5.373E-01
 2024.00  0.9529 8.40E-07 8.82E-07                                                              4.829E-02
 2025.00  0.9565 8.46E-07 8.85E-07                                                              4.445E-02
 2026.00  0.8905 7.90E-07 8.87E-07                                                              1.160E-01
 2027.00  0.4868 4.31E-07 8.85E-07                                                              7.199E-01
 2028.00  0.9498 8.40E-07 8.84E-07                                                              5.148E-02
 2029.00  0.9677 8.60E-07 8.89E-07                                                              3.281E-02
 2030.00  0.9626 8.54E-07 8.88E-07                                                              3.811E-02
 2031.00  0.9705 8.60E-07 8.87E-07                                                              2.998E-02
 2032.00  0.9657 8.56E-07 8.87E-07                                                              3.486E-02
 2033.00  0.9765 8.70E-07 8.91E-07                                                              2.382E-02
 2034.00  0.8679 7.73E-07 8.90E-07                                                              1.417E-01
 2035.00  0.9515 8.47E-07 8.90E-07                                                              4.974E-02
 2036.00  0.9759 8.72E-07 8.93E-07                                                              2.434E-02
 2037.00  0.8547 7.65E-07 8.95E-07                                                              1.570E-01
 2038.00  0.7662 6.87E-07 8.97E-07                                                              2.664E-01
 2039.00  0.9599 8.62E-07 8.98E-07                                                              4.090E-02
 2040.00  0.8693 7.82E-07 8.99E-07                                                              1.401E-01
 2041.00  0.3880 3.48E-07 8.97E-07                                                              9.466E-01
 2042.00  0.6999 6.31E-07 9.02E-07                                                              3.568E-01
 2043.00  0.8262 7.44E-07 9.00E-07                                                              1.909E-01
 2044.00  0.4624 4.16E-07 8.99E-07                                                              7.714E-01
 2045.00  0.9380 8.44E-07 8.99E-07                                                              6.404E-02
 2046.00  0.8105 7.31E-07 9.02E-07                                                              2.101E-01
 2047.00  0.8459 7.64E-07 9.03E-07                                                              1.674E-01
 2048.00  0.8634 7.81E-07 9.04E-07                                                              1.468E-01
 2049.00  0.7806 7.05E-07 9.03E-07                                                              2.477E-01
 2050.00  0.9302 8.39E-07 9.03E-07                                                              7.238E-02
 2051.00  0.8183 7.38E-07 9.02E-07                                                              2.006E-01
 2052.00  0.7498 6.77E-07 9.03E-07                                                              2.879E-01
 2053.00  0.9293 8.38E-07 9.02E-07                                                              7.330E-02
 2054.00  0.7583 6.85E-07 9.03E-07                                                              2.766E-01
 2055.00  0.7183 6.52E-07 9.08E-07                                                              3.309E-01
 2056.00  0.9329 8.51E-07 9.12E-07                                                              6.942E-02
 2057.00  0.7192 6.53E-07 9.08E-07                                                              3.297E-01
 2058.00  0.7091 6.44E-07 9.08E-07                                                              3.437E-01
 2059.00  0.9065 8.29E-07 9.15E-07                                                              9.818E-02
 2060.00  0.4916 4.49E-07 9.13E-07                                                              7.100E-01
 2061.00  0.6398 5.83E-07 9.11E-07                                                              4.467E-01
 2062.00  0.8940 8.17E-07 9.13E-07                                                              1.121E-01
 2063.00  0.6670 6.11E-07 9.16E-07                                                              4.049E-01
 2064.00  0.6588 6.04E-07 9.16E-07                                                              4.173E-01
 2065.00  0.3431 3.15E-07 9.18E-07                                                              1.070E+00
 2066.00  0.3892 3.58E-07 9.21E-07                                                              9.437E-01
 2067.00  0.8757 8.06E-07 9.20E-07                                                              1.327E-01
 2068.00  0.7626 7.03E-07 9.22E-07                                                              2.710E-01
 2069.00  0.6538 6.02E-07 9.21E-07                                                              4.250E-01
 2070.00  0.8723 8.05E-07 9.23E-07                                                              1.366E-01
 2071.00  0.7255 6.66E-07 9.18E-07                                                              3.208E-01
 2072.00  0.7355 6.78E-07 9.22E-07                                                              3.072E-01
 2073.00  0.7684 7.09E-07 9.23E-07                                                              2.634E-01
 2074.00  0.5437 5.03E-07 9.25E-07                                                              6.094E-01
