T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  20.00000  10.00000 106.74603  35.00042   0.30093   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.00331   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.98753893 1.2107E-27 0.0000E+00 0.0000E+00 4.8099E-09 4.8099E-09 0.0000E+00 0.0000E+00 4.8099E-09 6.75E-06 6.90E-06   0.013 1.0000 6.9214E-06    686.923
 9101.00 0.98849916 9.4593E-28 0.0000E+00 0.0000E+00 4.7103E-09 4.7103E-09 0.0000E+00 0.0000E+00 4.7103E-09 6.59E-06 6.73E-06   0.012 1.0000 6.7529E-06    686.805
 9111.00 0.98901993 7.8363E-28 0.0000E+00 0.0000E+00 4.7396E-09 4.7396E-09 0.0000E+00 0.0000E+00 4.7396E-09 6.62E-06 6.75E-06   0.011 1.0000 6.7702E-06    687.664
 9121.00 0.98887879 7.5328E-28 0.0000E+00 0.0000E+00 4.7466E-09 4.7466E-09 0.0000E+00 0.0000E+00 4.7466E-09 6.60E-06 6.74E-06   0.011 1.0000 6.7570E-06    688.353
 9131.00 0.98866659 7.4193E-28 0.0000E+00 0.0000E+00 4.7346E-09 4.7346E-09 0.0000E+00 0.0000E+00 4.7346E-09 6.56E-06 6.70E-06   0.011 1.0000 6.7175E-06    688.897
 9141.00 0.98928213 5.9693E-28 0.0000E+00 0.0000E+00 4.5585E-09 4.5585E-09 0.0000E+00 0.0000E+00 4.5585E-09 6.30E-06 6.43E-06   0.011 1.0000 6.4440E-06    688.165
 9151.00 0.98813719 7.2663E-28 0.0000E+00 0.0000E+00 4.8686E-09 4.8686E-09 0.0000E+00 0.0000E+00 4.8686E-09 6.69E-06 6.84E-06   0.012 1.0000 6.8615E-06    691.180
 9161.00 0.98939103 5.0495E-28 0.0000E+00 0.0000E+00 4.9393E-09 4.9393E-09 0.0000E+00 0.0000E+00 4.9393E-09 6.78E-06 6.91E-06   0.011 1.0000 6.9345E-06    692.340
 9171.00 0.98872441 5.5990E-28 0.0000E+00 0.0000E+00 4.9933E-09 4.9933E-09 0.0000E+00 0.0000E+00 4.9933E-09 6.82E-06 6.97E-06   0.011 1.0000 6.9883E-06    693.373
 9181.00 0.98911870 4.7391E-28 0.0000E+00 0.0000E+00 4.9288E-09 4.9288E-09 0.0000E+00 0.0000E+00 4.9288E-09 6.72E-06 6.85E-06   0.011 1.0000 6.8738E-06    693.536
 9191.00 0.98934650 4.1433E-28 0.0000E+00 0.0000E+00 4.9311E-09 4.9311E-09 0.0000E+00 0.0000E+00 4.9311E-09 6.70E-06 6.83E-06   0.011 1.0000 6.8531E-06    694.190
 9201.00 0.98874778 4.5165E-28 0.0000E+00 0.0000E+00 4.8939E-09 4.8939E-09 0.0000E+00 0.0000E+00 4.8939E-09 6.62E-06 6.76E-06   0.011 1.0000 6.7792E-06    694.550
 9211.00 0.98867422 4.3143E-28 0.0000E+00 0.0000E+00 5.0904E-09 5.0904E-09 0.0000E+00 0.0000E+00 5.0904E-09 6.86E-06 7.01E-06   0.011 1.0000 7.0277E-06    696.624
 9221.00 0.98902249 3.6522E-28 0.0000E+00 0.0000E+00 5.0655E-09 5.0655E-09 0.0000E+00 0.0000E+00 5.0655E-09 6.81E-06 6.95E-06   0.011 1.0000 6.9689E-06    697.082
 9231.00 0.98884612 3.5656E-28 0.0000E+00 0.0000E+00 4.9558E-09 4.9558E-09 0.0000E+00 0.0000E+00 4.9558E-09 6.64E-06 6.77E-06   0.011 1.0000 6.7955E-06    696.917
 9241.00 0.98897648 3.1764E-28 0.0000E+00 0.0000E+00 4.9647E-09 4.9647E-09 0.0000E+00 0.0000E+00 4.9647E-09 6.63E-06 6.76E-06   0.011 1.0000 6.7842E-06    697.618
 9251.00 0.98870099 3.1658E-28 0.0000E+00 0.0000E+00 5.0665E-09 5.0665E-09 0.0000E+00 0.0000E+00 5.0665E-09 6.74E-06 6.88E-06   0.011 1.0000 6.9007E-06    698.999
 9261.00 0.98864019 2.9659E-28 0.0000E+00 0.0000E+00 5.1523E-09 5.1523E-09 0.0000E+00 0.0000E+00 5.1523E-09 6.83E-06 6.97E-06   0.011 1.0000 6.9947E-06    700.253
 9271.00 0.98863298 2.7189E-28 0.0000E+00 0.0000E+00 5.0820E-09 5.0820E-09 0.0000E+00 0.0000E+00 5.0820E-09 6.71E-06 6.86E-06   0.011 1.0000 6.8762E-06    700.384
 9281.00 0.98822123 2.7662E-28 0.0000E+00 0.0000E+00 5.2145E-09 5.2145E-09 0.0000E+00 0.0000E+00 5.2145E-09 6.86E-06 7.01E-06   0.012 1.0000 7.0330E-06    701.969
 9291.00 0.98817563 2.5277E-28 0.0000E+00 0.0000E+00 5.2172E-09 5.2172E-09 0.0000E+00 0.0000E+00 5.2172E-09 6.84E-06 6.99E-06   0.012 1.0000 7.0135E-06    702.625
 9301.00 0.98777580 2.5122E-28 0.0000E+00 0.0000E+00 5.1218E-09 5.1218E-09 0.0000E+00 0.0000E+00 5.1218E-09 6.69E-06 6.84E-06   0.012 1.0000 6.8637E-06    702.581
 9311.00 0.98741472 2.4375E-28 0.0000E+00 0.0000E+00 5.2284E-09 5.2284E-09 0.0000E+00 0.0000E+00 5.2284E-09 6.80E-06 6.96E-06   0.013 1.0000 6.9849E-06    703.978
 9321.00 0.98691130 2.4071E-28 0.0000E+00 0.0000E+00 5.1700E-09 5.1700E-09 0.0000E+00 0.0000E+00 5.1700E-09 6.70E-06 6.86E-06   0.013 1.0000 6.8861E-06    704.199
 9331.00 0.98629314 2.3915E-28 0.0000E+00 0.0000E+00 5.2784E-09 5.2784E-09 0.0000E+00 0.0000E+00 5.2784E-09 6.81E-06 6.99E-06   0.014 1.0000 7.0103E-06    705.604
 9341.00 0.98562425 2.3858E-28 0.0000E+00 0.0000E+00 5.2702E-09 5.2702E-09 0.0000E+00 0.0000E+00 5.2702E-09 6.77E-06 6.96E-06   0.014 1.0000 6.9794E-06    706.184
 9351.00 0.98477858 2.4107E-28 0.0000E+00 0.0000E+00 5.0774E-09 5.0774E-09 0.0000E+00 0.0000E+00 5.0774E-09 6.50E-06 6.68E-06   0.015 1.0000 6.7060E-06    705.439
 9361.00 0.98331475 2.4894E-28 0.0000E+00 0.0000E+00 5.2459E-09 5.2459E-09 0.0000E+00 0.0000E+00 5.2459E-09 6.68E-06 6.89E-06   0.017 1.0000 6.9146E-06    707.286
 9371.00 0.98312610 2.3990E-28 0.0000E+00 0.0000E+00 5.3332E-09 5.3332E-09 0.0000E+00 0.0000E+00 5.3332E-09 6.77E-06 6.98E-06   0.017 1.0000 7.0062E-06    708.536
 9381.00 0.98295271 2.2865E-28 0.0000E+00 0.0000E+00 5.3250E-09 5.3250E-09 0.0000E+00 0.0000E+00 5.3250E-09 6.73E-06 6.95E-06   0.017 1.0000 6.9727E-06    709.116
