band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up_band,tau_down_band,path_radiance_band_W_m2_sr_um,sky_radiance_band_W_m2_sr_um,path_scattering_radiance_band_W_m2_sr_um,solar_irradiance_band_W_m2_um,unit_status,integration_method,source_case_ids
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,5,45,0.5378679401,0.57325377,0.2112125711,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,5,45,0.5378679401,0.57325377,0.2112125711,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng5_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,3,3,5,45,0.5378679401,0.57325377,0.2112125711,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng5_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,5,45,0.5378679401,0.57325377,0.2112125711,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng5_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,5,45,0.5386544676,0.5734693103,0.2109835518,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng5_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,10,45,0.4353031913,0.57325377,0.2589229461,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng10_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,5,3,3,10,45,0.4353031913,0.57325377,0.2589229461,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng10_vis5_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis5_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis5_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,3,3,10,45,0.4353031913,0.57325377,0.2589229461,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng10_vis10_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis10_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,10,45,0.4353031913,0.57325377,0.2589229461,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng10_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,10,45,0.4365460313,0.5734693103,0.2585650465,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng10_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng10_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng10_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,20,45,0.3234554128,0.57325377,0.3097761796,,,10.86727262,CONFIRMED_PER_CM1_TO_SI_CANDIDATE,RECTANGULAR_RESPONSE_WAVELENGTH_DOMAIN_AFTER_CM1_TO_UM_CONVERSION,MWIR_transmittance_obs3_tar3_rng20_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng20_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng20_vis2_aerRural_humdefault_sza45
