T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  15.00000  10.00000  95.94968  50.00044   0.44652   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  20.00098   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.97557646 3.3389E-27 0.0000E+00 0.0000E+00 8.4661E-09 8.4661E-09 0.0000E+00 0.0000E+00 8.4661E-09 6.72E-06 6.91E-06   0.025 1.0000 6.9214E-06    707.943
 9101.00 0.97806126 2.6452E-27 0.0000E+00 0.0000E+00 8.2947E-09 8.2947E-09 0.0000E+00 0.0000E+00 8.2947E-09 6.57E-06 6.74E-06   0.022 1.0000 6.7529E-06    707.812
 9111.00 0.97947109 2.2078E-27 0.0000E+00 0.0000E+00 8.3489E-09 8.3489E-09 0.0000E+00 0.0000E+00 8.3489E-09 6.60E-06 6.76E-06   0.021 1.0000 6.7702E-06    708.713
 9121.00 0.97911704 2.1252E-27 0.0000E+00 0.0000E+00 8.3611E-09 8.3611E-09 0.0000E+00 0.0000E+00 8.3611E-09 6.59E-06 6.74E-06   0.021 1.0000 6.7570E-06    709.421
 9131.00 0.97859806 2.0886E-27 0.0000E+00 0.0000E+00 8.3397E-09 8.3397E-09 0.0000E+00 0.0000E+00 8.3397E-09 6.54E-06 6.70E-06   0.022 1.0000 6.7175E-06    709.974
 9141.00 0.98032635 1.6789E-27 0.0000E+00 0.0000E+00 8.0324E-09 8.0324E-09 0.0000E+00 0.0000E+00 8.0324E-09 6.29E-06 6.43E-06   0.020 1.0000 6.4440E-06    709.187
 9151.00 0.97741359 2.0091E-27 0.0000E+00 0.0000E+00 8.5753E-09 8.5753E-09 0.0000E+00 0.0000E+00 8.5753E-09 6.68E-06 6.85E-06   0.023 1.0000 6.8615E-06    712.349
 9161.00 0.98075449 1.4110E-27 0.0000E+00 0.0000E+00 8.7052E-09 8.7052E-09 0.0000E+00 0.0000E+00 8.7052E-09 6.77E-06 6.92E-06   0.019 1.0000 6.9345E-06    713.581
 9171.00 0.97892642 1.5741E-27 0.0000E+00 0.0000E+00 8.7983E-09 8.7983E-09 0.0000E+00 0.0000E+00 8.7983E-09 6.81E-06 6.97E-06   0.021 1.0000 6.9883E-06    714.645
 9181.00 0.98003650 1.3351E-27 0.0000E+00 0.0000E+00 8.6868E-09 8.6868E-09 0.0000E+00 0.0000E+00 8.6868E-09 6.71E-06 6.86E-06   0.020 1.0000 6.8738E-06    714.804
 9191.00 0.98071694 1.1650E-27 0.0000E+00 0.0000E+00 8.6925E-09 8.6925E-09 0.0000E+00 0.0000E+00 8.6925E-09 6.69E-06 6.84E-06   0.019 1.0000 6.8531E-06    715.482
 9201.00 0.97916836 1.2646E-27 0.0000E+00 0.0000E+00 8.6251E-09 8.6251E-09 0.0000E+00 0.0000E+00 8.6251E-09 6.61E-06 6.76E-06   0.021 1.0000 6.7792E-06    715.832
 9211.00 0.97901046 1.2089E-27 0.0000E+00 0.0000E+00 8.9717E-09 8.9717E-09 0.0000E+00 0.0000E+00 8.9717E-09 6.85E-06 7.01E-06   0.021 1.0000 7.0277E-06    718.013
 9221.00 0.97996742 1.0283E-27 0.0000E+00 0.0000E+00 8.9299E-09 8.9299E-09 0.0000E+00 0.0000E+00 8.9299E-09 6.80E-06 6.95E-06   0.020 1.0000 6.9689E-06    718.484
 9231.00 0.97954249 1.0038E-27 0.0000E+00 0.0000E+00 8.7363E-09 8.7363E-09 0.0000E+00 0.0000E+00 8.7363E-09 6.63E-06 6.78E-06   0.021 1.0000 6.7955E-06    718.284
 9241.00 0.97996891 8.9413E-28 0.0000E+00 0.0000E+00 8.7530E-09 8.7530E-09 0.0000E+00 0.0000E+00 8.7530E-09 6.62E-06 6.77E-06   0.020 1.0000 6.7842E-06    719.011
 9251.00 0.97928214 8.9182E-28 0.0000E+00 0.0000E+00 8.9320E-09 8.9320E-09 0.0000E+00 0.0000E+00 8.9320E-09 6.73E-06 6.88E-06   0.021 1.0000 6.9007E-06    720.451
 9261.00 0.97919637 8.3563E-28 0.0000E+00 0.0000E+00 9.0836E-09 9.0836E-09 0.0000E+00 0.0000E+00 9.0836E-09 6.82E-06 6.98E-06   0.021 1.0000 6.9947E-06    721.761
 9271.00 0.97927129 7.6578E-28 0.0000E+00 0.0000E+00 8.9602E-09 8.9602E-09 0.0000E+00 0.0000E+00 8.9602E-09 6.70E-06 6.86E-06   0.021 1.0000 6.8762E-06    721.879
 9281.00 0.97824913 7.7976E-28 0.0000E+00 0.0000E+00 9.1926E-09 9.1926E-09 0.0000E+00 0.0000E+00 9.1926E-09 6.85E-06 7.02E-06   0.022 1.0000 7.0330E-06    723.533
