case_id,mode,band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,raw_unit,si_unit,conversion_method,purpose,input_file,input_sha256
mwir_std_trans,Transmittance,MWIR,Mid-Latitude Summer,Rural,default,23,10,5,10,,W/(cm^2 sr cm^-1) or W/(cm^2 cm^-1); tau dimensionless,W/(m^2 sr um) or W/(m^2 um); tau dimensionless,Jacobian 1e8/lambda_um^2; no empirical scale,LOS direct transmittance,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_trans\mwir_std_trans.tp5,0273a9007ba4d5bd4c808339d221f72a361cc3c11950315d02ccd2e8fef68a8d
mwir_std_thermal,ThermalRadiance,MWIR,Mid-Latitude Summer,Rural,default,23,10,5,10,,W/(cm^2 sr cm^-1) or W/(cm^2 cm^-1); tau dimensionless,W/(m^2 sr um) or W/(m^2 um); tau dimensionless,Jacobian 1e8/lambda_um^2; no empirical scale,LOS path thermal emission,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_thermal\mwir_std_thermal.tp5,9adbf6595c2ad09f5d261d5c44d1c998cc22530b752cd23626664bc25fca5b32
mwir_std_solar_direct,DirectSolarIrradiance,MWIR,Mid-Latitude Summer,Rural,default,23,,5,,45,W/(cm^2 sr cm^-1) or W/(cm^2 cm^-1); tau dimensionless,W/(m^2 sr um) or W/(m^2 um); tau dimensionless,Jacobian 1e8/lambda_um^2; no empirical scale,direct solar irradiance at target altitude,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_direct\mwir_std_solar_direct.tp5,b214f8304a1ad24b2f60157008c8408b0f04006be99418fb53f31efd22221a22
mwir_std_solar_scatter,RadianceWithScattering,MWIR,Mid-Latitude Summer,Rural,default,23,10,5,10,45,W/(cm^2 sr cm^-1) or W/(cm^2 cm^-1); tau dimensionless,W/(m^2 sr um) or W/(m^2 um); tau dimensionless,Jacobian 1e8/lambda_um^2; no empirical scale,LOS solar-scattered radiance components,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\mwir_std_solar_scatter.tp5,a79f721671a8c219e2c4bc7e2d8f727ed4dcf4b79321f307cb00deddb5c25c61
mwir_std_flux,SpectralFlux,MWIR,Mid-Latitude Summer,Rural,default,23,,5,,45,W/(cm^2 sr cm^-1) or W/(cm^2 cm^-1); tau dimensionless,W/(m^2 sr um) or W/(m^2 um); tau dimensionless,Jacobian 1e8/lambda_um^2; no empirical scale,downward diffuse/thermal and direct solar spectral flux at target altitude,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_flux\mwir_std_flux.tp5,a7bf742310c097c28339d2d19f99671f64b61d30b7f35f9ccbbc7c73dbe09243
