case_id,source_file,raw_unit_radiance,raw_unit_irradiance,si_unit_radiance,si_unit_irradiance,conversion_method,wavenumber_cm1,wavelength_um,tau_los,path_thermal_native,path_thermal_W_m2_sr_um,thermal_scatter_native,thermal_scatter_W_m2_sr_um,surface_emission_native,surface_emission_W_m2_sr_um,solar_scatter_native,solar_scatter_W_m2_sr_um,single_scatter_native,single_scatter_W_m2_sr_um,ground_reflected_native,ground_reflected_W_m2_sr_um,direct_reflected_native,direct_reflected_W_m2_sr_um,total_radiance_native_diagnostic_only,path_radiance_excluding_surface_W_m2_sr_um
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2000.0,5.0,0.83430511,2.342e-08,0.09368,0.0,0.0,0.0,0.0,1.1112e-11,4.4448000000000005e-05,1.1112e-11,4.4448000000000005e-05,0.0,0.0,0.0,0.0,2.3431e-08,0.093724448
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2001.0,4.997501249375312,0.93323725,9.6981e-09,0.0388312020981,0.0,0.0,0.0,0.0,1.1984e-11,4.7983947984000006e-05,1.1984e-11,4.7983947984000006e-05,0.0,0.0,0.0,0.0,9.7101e-09,0.038879186046084
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2002.0,4.995004995004995,0.95927799,5.8349e-09,0.023386302539600005,0.0,0.0,0.0,0.0,1.2194e-11,4.887360077600001e-05,1.2194e-11,4.887360077600001e-05,0.0,0.0,0.0,0.0,5.8471e-09,0.023435176140376004
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2003.0,4.992511233150275,0.94431078,7.9866e-09,0.032042311079400004,0.0,0.0,0.0,0.0,1.218e-11,4.886626962e-05,1.218e-11,4.886626962e-05,0.0,0.0,0.0,0.0,7.9988e-09,0.032091177349020006
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2004.0,4.990019960079841,0.96198589,5.3884e-09,0.021639900614399996,0.0,0.0,0.0,0.0,1.2326e-11,4.9501413216e-05,1.2326e-11,4.9501413216e-05,0.0,0.0,0.0,0.0,5.4007e-09,0.021689402027615996
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2005.0,4.987531172069826,0.96329194,5.2599e-09,0.021144929497499996,0.0,0.0,0.0,0.0,1.2366e-11,4.9711629149999994e-05,1.2366e-11,4.9711629149999994e-05,0.0,0.0,0.0,0.0,5.2723e-09,0.021194641126649996
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2006.0,4.985044865403789,0.90106493,1.3534e-08,0.054461303224,0.0,0.0,0.0,0.0,1.1806e-11,4.750776901599999e-05,1.1806e-11,4.750776901599999e-05,0.0,0.0,0.0,0.0,1.3546e-08,0.054508810993016
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2007.0,4.9825610363726955,0.83501005,2.318e-08,0.09337017582,0.0,0.0,0.0,0.0,1.1402e-11,4.5927814698e-05,1.1402e-11,4.5927814698e-05,0.0,0.0,0.0,0.0,2.3192e-08,0.093416103634698
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2008.0,4.9800796812749,0.49811283,5.7427e-08,0.231549339328,0.0,0.0,0.0,0.0,8.0104e-12,3.2298445465599997e-05,8.0104e-12,3.2298445465599997e-05,0.0,0.0,0.0,0.0,5.7435e-08,0.2315816377734656
mwir_std_solar_scatter,D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\mwir_std_solar_scatter\MODOUT2.txt,W/(cm^2 sr cm^-1),W/(cm^2 cm^-1),W/(m^2 sr um),W/(m^2 um),value_si=value_native*1e8/(wavelength_um^2),2009.0,4.9776007964161275,0.57447505,4.8054e-08,0.193949836374,0.0,0.0,0.0,0.0,8.6226e-12,3.48015120306e-05,8.6226e-12,3.48015120306e-05,0.0,0.0,0.0,0.0,4.8063e-08,0.19398463788603063
