band,atmosphere_model,aerosol_model,humidity_profile,visibility_km,observer_alt_km,target_alt_km,range_km,solar_zenith_deg,tau_up_band,tau_down_band,path_radiance_band,sky_radiance_band,path_scattering_radiance_band,solar_irradiance_band,unit_radiance,unit_irradiance,source_case_ids
MWIR,Mid-Latitude Summer,Rural,default,10,20,20,2,45,0.9158979563,0.8875213712,3.077394608e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng2_vis10_aerRural_humdefault;MWIR_solar_obs20_tar20_rng2_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,10,5,3,2,45,0.6954136838,0.57325377,1.991593335e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar3_rng2_vis10_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis10_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis10_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,3,3,2,45,0.6960838391,0.57325377,7.838221829e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs3_tar3_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis23_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,5,5,2,45,0.7824045258,0.668494358,3.953775488e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar5_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs5_tar5_rng2_vis23_aerRural_humdefault;MWIR_solar_obs5_tar5_rng2_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,10,10,2,45,0.8405946656,0.7952563752,1.749869611e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar10_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs10_tar10_rng2_vis23_aerRural_humdefault;MWIR_solar_obs10_tar10_rng2_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,15,15,2,45,0.8873698217,0.8511959858,3.370226288e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng2_vis23_aerRural_humdefault;MWIR_solar_obs15_tar15_rng2_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,20,20,2,45,0.9158979563,0.8875213712,3.077394608e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng2_vis23_aerRural_humdefault;MWIR_solar_obs20_tar20_rng2_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,23,5,3,2,45,0.6954136838,0.57325377,1.991593335e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar3_rng2_vis23_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis23_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis23_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,3,3,2,45,0.6965172937,0.5734693103,7.837048082e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs3_tar3_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng2_vis50_aerRural_humdefault;MWIR_solar_obs3_tar3_rng2_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,5,5,2,45,0.7824045258,0.668494358,3.953775796e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar5_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs5_tar5_rng2_vis50_aerRural_humdefault;MWIR_solar_obs5_tar5_rng2_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,10,10,2,45,0.8405946656,0.7952563752,1.749869611e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar10_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs10_tar10_rng2_vis50_aerRural_humdefault;MWIR_solar_obs10_tar10_rng2_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,15,15,2,45,0.8873698217,0.8511959858,3.370226288e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng2_vis50_aerRural_humdefault;MWIR_solar_obs15_tar15_rng2_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,20,20,2,45,0.9158979563,0.8875213712,3.077394608e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng2_vis50_aerRural_humdefault;MWIR_solar_obs20_tar20_rng2_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,50,5,3,2,45,0.6955994072,0.5734693103,1.990740629e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar3_rng2_vis50_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng2_vis50_aerRural_humdefault;MWIR_solar_obs5_tar3_rng2_vis50_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,3,3,5,45,0.5378679401,0.57325377,4.347634034e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs3_tar3_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs3_tar3_rng5_vis2_aerRural_humdefault;MWIR_solar_obs3_tar3_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,5,5,5,45,0.6560062972,0.668494358,1.932524338e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar5_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar5_rng5_vis2_aerRural_humdefault;MWIR_solar_obs5_tar5_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,10,10,5,45,0.7986836189,0.7952563752,2.278858864e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar10_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs10_tar10_rng5_vis2_aerRural_humdefault;MWIR_solar_obs10_tar10_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,15,15,5,45,0.8613708502,0.8511959858,4.390793351e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar15_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs15_tar15_rng5_vis2_aerRural_humdefault;MWIR_solar_obs15_tar15_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,20,20,5,45,0.8957125594,0.8875213712,4.058746971e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar20_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs20_tar20_rng5_vis2_aerRural_humdefault;MWIR_solar_obs20_tar20_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,5,3,5,45,0.5950834938,0.57325377,2.67754743e-08,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs5_tar3_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs5_tar3_rng5_vis2_aerRural_humdefault;MWIR_solar_obs5_tar3_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,10,5,5,45,0.7294806363,0.668494358,6.025558356e-09,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs10_tar5_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs10_tar5_rng5_vis2_aerRural_humdefault;MWIR_solar_obs10_tar5_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,15,10,5,45,0.8320464735,0.7952563752,7.159576903e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs15_tar10_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs15_tar10_rng5_vis2_aerRural_humdefault;MWIR_solar_obs15_tar10_rng5_vis2_aerRural_humdefault_sza45
MWIR,Mid-Latitude Summer,Rural,default,2,20,15,5,45,0.8781126009,0.8511959858,4.350268156e-10,,,1.503566713e-06,MODOUT2_native,MODOUT2_native,MWIR_transmittance_obs20_tar15_rng5_vis2_aerRural_humdefault;MWIR_thermal_obs20_tar15_rng5_vis2_aerRural_humdefault;MWIR_solar_obs20_tar15_rng5_vis2_aerRural_humdefault_sza45
