T F 2    3    3    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  23.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000 100.00000  60.00000 186.06754   1.42707   0.00000    0        0.00000
  -99  -99  172    0
 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000 -99.00000   0.00000 -99.00000
    1995.0    3335.0       1.0       1.0NW        W1    
    0   0    0.000  0    0.000  0    1.000
    FREQ   TRANS     SOL TR  SOLAR
 2077.00  0.0356 3.29E-08 9.24E-07                                                              3.336E+00
 2078.00  0.0856 7.92E-08 9.25E-07                                                              2.458E+00
 2079.00  0.3328 3.07E-07 9.24E-07                                                              1.100E+00
 2080.00  0.7564 6.98E-07 9.23E-07                                                              2.792E-01
 2081.00  0.6609 6.09E-07 9.22E-07                                                              4.141E-01
 2082.00  0.4808 4.46E-07 9.28E-07                                                              7.322E-01
 2083.00  0.7959 7.38E-07 9.28E-07                                                              2.283E-01
 2084.00  0.6881 6.36E-07 9.24E-07                                                              3.739E-01
 2085.00  0.7028 6.52E-07 9.28E-07                                                              3.526E-01
 2086.00  0.6555 6.12E-07 9.34E-07                                                              4.224E-01
 2087.00  0.5480 5.08E-07 9.27E-07                                                              6.016E-01
 2088.00  0.7256 6.75E-07 9.30E-07                                                              3.207E-01
 2089.00  0.6733 6.30E-07 9.36E-07                                                              3.956E-01
 2090.00  0.2617 2.44E-07 9.33E-07                                                              1.340E+00
 2091.00  0.6133 5.69E-07 9.28E-07                                                              4.890E-01
 2092.00  0.7049 6.58E-07 9.33E-07                                                              3.497E-01
 2093.00  0.6426 5.99E-07 9.32E-07                                                              4.423E-01
 2094.00  0.5567 5.18E-07 9.31E-07                                                              5.858E-01
 2095.00  0.5630 5.27E-07 9.36E-07                                                              5.745E-01
 2096.00  0.7578 7.11E-07 9.38E-07                                                              2.773E-01
 2097.00  0.5915 5.55E-07 9.38E-07                                                              5.251E-01
 2098.00  0.7435 7.00E-07 9.42E-07                                                              2.964E-01
 2099.00  0.5508 5.19E-07 9.42E-07                                                              5.964E-01
 2100.00  0.6281 5.93E-07 9.43E-07                                                              4.650E-01
 2101.00  0.6874 6.49E-07 9.44E-07                                                              3.749E-01
 2102.00  0.7607 7.20E-07 9.46E-07                                                              2.736E-01
 2103.00  0.5684 5.36E-07 9.43E-07                                                              5.650E-01
 2104.00  0.7187 6.80E-07 9.46E-07                                                              3.303E-01
 2105.00  0.7361 6.95E-07 9.44E-07                                                              3.064E-01
 2106.00  0.5437 5.16E-07 9.49E-07                                                              6.093E-01
 2107.00  0.4936 4.67E-07 9.47E-07                                                              7.061E-01
 2108.00  0.6343 6.02E-07 9.49E-07                                                              4.552E-01
 2109.00  0.6017 5.72E-07 9.51E-07                                                              5.080E-01
 2110.00  0.6695 6.36E-07 9.50E-07                                                              4.012E-01
 2111.00  0.8731 8.26E-07 9.46E-07                                                              1.357E-01
