T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  10.00000   5.00000  98.35601  35.00061   0.31116   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  20.00194   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.84262967 1.9854E-23 0.0000E+00 0.0000E+00 2.9123E-08 2.9123E-08 0.0000E+00 0.0000E+00 2.9123E-08 5.68E-06 6.89E-06   0.171 1.0000 6.9214E-06    758.675
 9101.00 0.86402130 1.6847E-23 0.0000E+00 0.0000E+00 2.8907E-08 2.8907E-08 0.0000E+00 0.0000E+00 2.8907E-08 5.69E-06 6.72E-06   0.146 1.0000 6.7529E-06    759.036
 9111.00 0.88624138 1.3383E-23 0.0000E+00 0.0000E+00 2.9457E-08 2.9457E-08 0.0000E+00 0.0000E+00 2.9457E-08 5.87E-06 6.74E-06   0.121 1.0000 6.7702E-06    760.555
 9121.00 0.88415778 1.2721E-23 0.0000E+00 0.0000E+00 2.9443E-08 2.9443E-08 0.0000E+00 0.0000E+00 2.9443E-08 5.85E-06 6.73E-06   0.123 1.0000 6.7570E-06    761.224
 9131.00 0.87953228 1.2622E-23 0.0000E+00 0.0000E+00 2.9273E-08 2.9273E-08 0.0000E+00 0.0000E+00 2.9273E-08 5.78E-06 6.69E-06   0.128 1.0000 6.7175E-06    761.657
 9141.00 0.90467519 9.5470E-24 0.0000E+00 0.0000E+00 2.8587E-08 2.8587E-08 0.0000E+00 0.0000E+00 2.8587E-08 5.72E-06 6.42E-06   0.100 1.0000 6.4440E-06    761.300
 9151.00 0.87814558 1.1150E-23 0.0000E+00 0.0000E+00 3.0013E-08 3.0013E-08 0.0000E+00 0.0000E+00 3.0013E-08 5.90E-06 6.83E-06   0.130 1.0000 6.8615E-06    764.141
 9161.00 0.92248636 6.7231E-24 0.0000E+00 0.0000E+00 3.1245E-08 3.1245E-08 0.0000E+00 0.0000E+00 3.1245E-08 6.30E-06 6.90E-06   0.081 1.0000 6.9345E-06    766.620
 9171.00 0.89378792 8.8274E-24 0.0000E+00 0.0000E+00 3.1052E-08 3.1052E-08 0.0000E+00 0.0000E+00 3.1052E-08 6.12E-06 6.96E-06   0.112 1.0000 6.9883E-06    767.034
 9181.00 0.90768975 7.4228E-24 0.0000E+00 0.0000E+00 3.0901E-08 3.0901E-08 0.0000E+00 0.0000E+00 3.0901E-08 6.12E-06 6.84E-06   0.097 1.0000 6.8738E-06    767.507
 9191.00 0.92097872 5.9685E-24 0.0000E+00 0.0000E+00 3.1138E-08 3.1138E-08 0.0000E+00 0.0000E+00 3.1138E-08 6.21E-06 6.82E-06   0.082 1.0000 6.8531E-06    768.540
 9201.00 0.90311730 6.8755E-24 0.0000E+00 0.0000E+00 3.0557E-08 3.0557E-08 0.0000E+00 0.0000E+00 3.0557E-08 6.01E-06 6.75E-06   0.102 1.0000 6.7792E-06    768.389
 9211.00 0.90406668 6.4650E-24 0.0000E+00 0.0000E+00 3.1787E-08 3.1787E-08 0.0000E+00 0.0000E+00 3.1787E-08 6.24E-06 7.00E-06   0.101 1.0000 7.0277E-06    770.843
 9221.00 0.91460693 5.5381E-24 0.0000E+00 0.0000E+00 3.1828E-08 3.1828E-08 0.0000E+00 0.0000E+00 3.1828E-08 6.26E-06 6.94E-06   0.089 1.0000 6.9689E-06    771.592
 9231.00 0.91206658 5.3795E-24 0.0000E+00 0.0000E+00 3.1064E-08 3.1064E-08 0.0000E+00 0.0000E+00 3.1064E-08 6.09E-06 6.76E-06   0.092 1.0000 6.7955E-06    771.192
 9241.00 0.92241186 4.4583E-24 0.0000E+00 0.0000E+00 3.1295E-08 3.1295E-08 0.0000E+00 0.0000E+00 3.1295E-08 6.16E-06 6.75E-06   0.081 1.0000 6.7842E-06    772.216
 9251.00 0.91355067 4.7652E-24 0.0000E+00 0.0000E+00 3.1767E-08 3.1767E-08 0.0000E+00 0.0000E+00 3.1767E-08 6.19E-06 6.87E-06   0.090 1.0000 6.9007E-06    773.578
 9261.00 0.91752350 4.2899E-24 0.0000E+00 0.0000E+00 3.2356E-08 3.2356E-08 0.0000E+00 0.0000E+00 3.2356E-08 6.31E-06 6.96E-06   0.086 1.0000 6.9947E-06    775.096
 9271.00 0.92466354 3.6809E-24 0.0000E+00 0.0000E+00 3.2028E-08 3.2028E-08 0.0000E+00 0.0000E+00 3.2028E-08 6.25E-06 6.84E-06   0.078 1.0000 6.8762E-06    775.327
 9281.00 0.91142666 4.1988E-24 0.0000E+00 0.0000E+00 3.2613E-08 3.2613E-08 0.0000E+00 0.0000E+00 3.2613E-08 6.29E-06 7.00E-06   0.093 1.0000 7.0330E-06    776.834
 9291.00 0.92397875 3.3211E-24 0.0000E+00 0.0000E+00 3.2834E-08 3.2834E-08 0.0000E+00 0.0000E+00 3.2834E-08 6.37E-06 6.98E-06   0.079 1.0000 7.0135E-06    777.830
 9301.00 0.91727406 3.4562E-24 0.0000E+00 0.0000E+00 3.2100E-08 3.2100E-08 0.0000E+00 0.0000E+00 3.2100E-08 6.18E-06 6.83E-06   0.086 1.0000 6.8637E-06    777.500
 9311.00 0.91874492 3.1953E-24 0.0000E+00 0.0000E+00 3.2777E-08 3.2777E-08 0.0000E+00 0.0000E+00 3.2777E-08 6.31E-06 6.95E-06   0.085 1.0000 6.9849E-06    779.134
 9321.00 0.91630024 3.1156E-24 0.0000E+00 0.0000E+00 3.2350E-08 3.2350E-08 0.0000E+00 0.0000E+00 3.2350E-08 6.19E-06 6.85E-06   0.087 1.0000 6.8861E-06    779.231
