T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0   5.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
   5.00000   3.00000  93.41497  35.00078   0.31405   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.02525   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.52199209 7.7563E-22 0.0000E+00 0.0000E+00 7.6071E-08 7.6071E-08 0.0000E+00 0.0000E+00 7.6071E-08 3.14E-06 6.31E-06   0.650 1.0000 6.9214E-06    803.417
 9101.00 0.56340080 6.9287E-22 0.0000E+00 0.0000E+00 7.8207E-08 7.8207E-08 0.0000E+00 0.0000E+00 7.8207E-08 3.33E-06 6.25E-06   0.574 1.0000 6.7529E-06    805.508
 9111.00 0.62964094 5.7232E-22 0.0000E+00 0.0000E+00 8.4362E-08 8.4362E-08 0.0000E+00 0.0000E+00 8.4362E-08 3.81E-06 6.35E-06   0.463 1.0000 6.7702E-06    810.003
 9121.00 0.62866884 5.4145E-22 0.0000E+00 0.0000E+00 8.4270E-08 8.4270E-08 0.0000E+00 0.0000E+00 8.4270E-08 3.80E-06 6.33E-06   0.464 1.0000 6.7570E-06    810.673
 9131.00 0.61351430 5.3681E-22 0.0000E+00 0.0000E+00 8.2756E-08 8.2756E-08 0.0000E+00 0.0000E+00 8.2756E-08 3.66E-06 6.27E-06   0.489 1.0000 6.7175E-06    810.490
 9141.00 0.67726177 4.4337E-22 0.0000E+00 0.0000E+00 8.4963E-08 8.4963E-08 0.0000E+00 0.0000E+00 8.4963E-08 3.93E-06 6.10E-06   0.390 1.0000 6.4440E-06    812.532
 9151.00 0.62641120 4.6442E-22 0.0000E+00 0.0000E+00 8.5767E-08 8.5767E-08 0.0000E+00 0.0000E+00 8.5767E-08 3.85E-06 6.38E-06   0.468 1.0000 6.8615E-06    813.729
