T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  50.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  20.00000  20.00000  90.00877   1.99702   0.01790   0.00000    1        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.00331   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.99956548 4.7294E-30 0.0000E+00 0.0000E+00 2.2165E-10 2.2165E-10 0.0000E+00 0.0000E+00 2.2165E-10 6.90E-06 6.90E-06   0.000 1.0000 6.9214E-06    591.353
 9101.00 0.99956608 4.4378E-30 0.0000E+00 0.0000E+00 2.1694E-10 2.1694E-10 0.0000E+00 0.0000E+00 2.1694E-10 6.73E-06 6.73E-06   0.000 1.0000 6.7529E-06    591.341
 9111.00 0.99956560 4.1747E-30 0.0000E+00 0.0000E+00 2.1820E-10 2.1820E-10 0.0000E+00 0.0000E+00 2.1820E-10 6.75E-06 6.75E-06   0.000 1.0000 6.7702E-06    592.058
 9121.00 0.99956381 3.9375E-30 0.0000E+00 0.0000E+00 2.1848E-10 2.1848E-10 0.0000E+00 0.0000E+00 2.1848E-10 6.73E-06 6.74E-06   0.000 1.0000 6.7570E-06    592.653
 9131.00 0.99956161 3.7187E-30 0.0000E+00 0.0000E+00 2.1789E-10 2.1789E-10 0.0000E+00 0.0000E+00 2.1789E-10 6.69E-06 6.70E-06   0.000 1.0000 6.7175E-06    593.142
 9141.00 0.99956149 3.4948E-30 0.0000E+00 0.0000E+00 2.0969E-10 2.0969E-10 0.0000E+00 0.0000E+00 2.0969E-10 6.42E-06 6.43E-06   0.000 1.0000 6.4440E-06    592.677
 9151.00 0.99955773 3.3117E-30 0.0000E+00 0.0000E+00 2.2398E-10 2.2398E-10 0.0000E+00 0.0000E+00 2.2398E-10 6.84E-06 6.84E-06   0.000 1.0000 6.8615E-06    595.005
 9161.00 0.99955893 3.1040E-30 0.0000E+00 0.0000E+00 2.2708E-10 2.2708E-10 0.0000E+00 0.0000E+00 2.2708E-10 6.91E-06 6.91E-06   0.000 1.0000 6.9345E-06    595.938
 9171.00 0.99955589 2.9355E-30 0.0000E+00 0.0000E+00 2.2955E-10 2.2955E-10 0.0000E+00 0.0000E+00 2.2955E-10 6.96E-06 6.97E-06   0.000 1.0000 6.9883E-06    596.792
 9181.00 0.99955505 2.7630E-30 0.0000E+00 0.0000E+00 2.2650E-10 2.2650E-10 0.0000E+00 0.0000E+00 2.2650E-10 6.85E-06 6.85E-06   0.000 1.0000 6.8738E-06    596.993
 9191.00 0.99955392 2.6027E-30 0.0000E+00 0.0000E+00 2.2654E-10 2.2654E-10 0.0000E+00 0.0000E+00 2.2654E-10 6.83E-06 6.83E-06   0.000 1.0000 6.8531E-06    597.560
 9201.00 0.99955130 2.4602E-30 0.0000E+00 0.0000E+00 2.2481E-10 2.2481E-10 0.0000E+00 0.0000E+00 2.2481E-10 6.76E-06 6.76E-06   0.000 1.0000 6.7792E-06    597.915
 9211.00 0.99954939 2.3208E-30 0.0000E+00 0.0000E+00 2.3378E-10 2.3378E-10 0.0000E+00 0.0000E+00 2.3378E-10 7.00E-06 7.01E-06   0.000 1.0000 7.0277E-06    599.537
 9221.00 0.99954849 2.1847E-30 0.0000E+00 0.0000E+00 2.3256E-10 2.3256E-10 0.0000E+00 0.0000E+00 2.3256E-10 6.94E-06 6.95E-06   0.000 1.0000 6.9689E-06    599.957
 9231.00 0.99954641 2.0622E-30 0.0000E+00 0.0000E+00 2.2748E-10 2.2748E-10 0.0000E+00 0.0000E+00 2.2748E-10 6.77E-06 6.77E-06   0.000 1.0000 6.7955E-06    599.920
 9241.00 0.99954480 1.9441E-30 0.0000E+00 0.0000E+00 2.2783E-10 2.2783E-10 0.0000E+00 0.0000E+00 2.2783E-10 6.76E-06 6.76E-06   0.000 1.0000 6.7842E-06    600.523
 9251.00 0.99954230 1.8366E-30 0.0000E+00 0.0000E+00 2.3246E-10 2.3246E-10 0.0000E+00 0.0000E+00 2.3246E-10 6.88E-06 6.88E-06   0.000 1.0000 6.9007E-06    601.632
 9261.00 0.99953985 1.7342E-30 0.0000E+00 0.0000E+00 2.3635E-10 2.3635E-10 0.0000E+00 0.0000E+00 2.3635E-10 6.97E-06 6.97E-06   0.000 1.0000 6.9947E-06    602.646
 9271.00 0.99953759 1.6376E-30 0.0000E+00 0.0000E+00 2.3308E-10 2.3308E-10 0.0000E+00 0.0000E+00 2.3308E-10 6.85E-06 6.86E-06   0.000 1.0000 6.8762E-06    602.829
 9281.00 0.99953413 1.5501E-30 0.0000E+00 0.0000E+00 2.3914E-10 2.3914E-10 0.0000E+00 0.0000E+00 2.3914E-10 7.01E-06 7.01E-06   0.000 1.0000 7.0330E-06    604.091
 9291.00 0.99953085 1.4667E-30 0.0000E+00 0.0000E+00 2.3923E-10 2.3923E-10 0.0000E+00 0.0000E+00 2.3923E-10 6.99E-06 6.99E-06   0.000 1.0000 7.0135E-06    604.664
 9301.00 0.99952650 1.3906E-30 0.0000E+00 0.0000E+00 2.3485E-10 2.3485E-10 0.0000E+00 0.0000E+00 2.3485E-10 6.84E-06 6.84E-06   0.000 1.0000 6.8637E-06    604.721
 9311.00 0.99952149 1.3203E-30 0.0000E+00 0.0000E+00 2.3974E-10 2.3974E-10 0.0000E+00 0.0000E+00 2.3974E-10 6.96E-06 6.96E-06   0.000 1.0000 6.9849E-06    605.847
 9321.00 0.99951530 1.2562E-30 0.0000E+00 0.0000E+00 2.3708E-10 2.3708E-10 0.0000E+00 0.0000E+00 2.3708E-10 6.86E-06 6.86E-06   0.000 1.0000 6.8861E-06    606.103
 9331.00 0.99950761 1.1991E-30 0.0000E+00 0.0000E+00 2.4209E-10 2.4209E-10 0.0000E+00 0.0000E+00 2.4209E-10 6.98E-06 6.99E-06   0.000 1.0000 7.0103E-06    607.240
 9341.00 0.99950039 1.1431E-30 0.0000E+00 0.0000E+00 2.4176E-10 2.4176E-10 0.0000E+00 0.0000E+00 2.4176E-10 6.95E-06 6.96E-06   0.000 1.0000 6.9794E-06    607.764
 9351.00 0.99949044 1.0952E-30 0.0000E+00 0.0000E+00 2.3299E-10 2.3299E-10 0.0000E+00 0.0000E+00 2.3299E-10 6.68E-06 6.68E-06   0.001 1.0000 6.7060E-06    607.312
 9361.00 0.99946445 1.0810E-30 0.0000E+00 0.0000E+00 2.4093E-10 2.4093E-10 0.0000E+00 0.0000E+00 2.4093E-10 6.89E-06 6.89E-06   0.001 1.0000 6.9146E-06    608.795
 9371.00 0.99946791 1.0099E-30 0.0000E+00 0.0000E+00 2.4488E-10 2.4488E-10 0.0000E+00 0.0000E+00 2.4488E-10 6.98E-06 6.98E-06   0.001 1.0000 7.0062E-06    609.805
 9381.00 0.99946588 9.5188E-31 0.0000E+00 0.0000E+00 2.4447E-10 2.4447E-10 0.0000E+00 0.0000E+00 2.4447E-10 6.94E-06 6.95E-06   0.001 1.0000 6.9727E-06    610.321
 9391.00 0.99946505 8.9593E-31 0.0000E+00 0.0000E+00 2.4943E-10 2.4943E-10 0.0000E+00 0.0000E+00 2.4943E-10 7.06E-06 7.07E-06   0.001 1.0000 7.0927E-06    611.439
 9401.00 0.99946958 8.3461E-31 0.0000E+00 0.0000E+00 2.4832E-10 2.4832E-10 0.0000E+00 0.0000E+00 2.4832E-10 7.01E-06 7.01E-06   0.001 1.0000 7.0394E-06    611.878
 9411.00 0.99947774 7.7204E-31 0.0000E+00 0.0000E+00 2.4849E-10 2.4849E-10 0.0000E+00 0.0000E+00 2.4849E-10 6.99E-06 7.00E-06   0.001 1.0000 7.0221E-06    612.459
 9421.00 0.99948102 7.2073E-31 0.0000E+00 0.0000E+00 2.4866E-10 2.4866E-10 0.0000E+00 0.0000E+00 2.4866E-10 6.98E-06 6.98E-06   0.001 1.0000 7.0055E-06    613.040
 9431.00 0.99948198 6.7580E-31 0.0000E+00 0.0000E+00 2.4807E-10 2.4807E-10 0.0000E+00 0.0000E+00 2.4807E-10 6.94E-06 6.94E-06   0.001 1.0000 6.9676E-06    613.537
 9441.00 0.99948329 6.3328E-31 0.0000E+00 0.0000E+00 2.4811E-10 2.4811E-10 0.0000E+00 0.0000E+00 2.4811E-10 6.92E-06 6.92E-06   0.001 1.0000 6.9484E-06    614.104
 9451.00 0.99948603 5.9189E-31 0.0000E+00 0.0000E+00 2.4979E-10 2.4979E-10 0.0000E+00 0.0000E+00 2.4979E-10 6.95E-06 6.95E-06   0.001 1.0000 6.9764E-06    614.854
 9461.00 0.99948889 5.5293E-31 0.0000E+00 0.0000E+00 2.5448E-10 2.5448E-10 0.0000E+00 0.0000E+00 2.5448E-10 7.06E-06 7.07E-06   0.001 1.0000 7.0891E-06    615.934
 9471.00 0.99949145 5.1680E-31 0.0000E+00 0.0000E+00 2.5519E-10 2.5519E-10 0.0000E+00 0.0000E+00 2.5519E-10 7.06E-06 7.07E-06   0.001 1.0000 7.0904E-06    616.574
 9481.00 0.99949259 4.8444E-31 0.0000E+00 0.0000E+00 2.5564E-10 2.5564E-10 0.0000E+00 0.0000E+00 2.5564E-10 7.06E-06 7.06E-06   0.001 1.0000 7.0848E-06    617.186
 9491.00 0.99949175 4.5573E-31 0.0000E+00 0.0000E+00 2.5420E-10 2.5420E-10 0.0000E+00 0.0000E+00 2.5420E-10 7.00E-06 7.00E-06   0.001 1.0000 7.0271E-06    617.591
 9501.00 0.99948949 4.2999E-31 0.0000E+00 0.0000E+00 2.5626E-10 2.5626E-10 0.0000E+00 0.0000E+00 2.5626E-10 7.04E-06 7.04E-06   0.001 1.0000 7.0663E-06    618.379
 9511.00 0.99949086 4.0295E-31 0.0000E+00 0.0000E+00 2.5716E-10 2.5716E-10 0.0000E+00 0.0000E+00 2.5716E-10 7.05E-06 7.05E-06   0.001 1.0000 7.0729E-06    619.039
 9521.00 0.99948716 3.8121E-31 0.0000E+00 0.0000E+00 2.5765E-10 2.5765E-10 0.0000E+00 0.0000E+00 2.5765E-10 7.04E-06 7.04E-06   0.001 1.0000 7.0689E-06    619.655
 9531.00 0.99948460 3.6013E-31 0.0000E+00 0.0000E+00 2.5884E-10 2.5884E-10 0.0000E+00 0.0000E+00 2.5884E-10 7.06E-06 7.06E-06   0.001 1.0000 7.0837E-06    620.347
 9541.00 0.99949521 3.3123E-31 0.0000E+00 0.0000E+00 2.5957E-10 2.5957E-10 0.0000E+00 0.0000E+00 2.5957E-10 7.06E-06 7.06E-06   0.001 1.0000 7.0847E-06    620.989
 9551.00 0.99949437 3.1168E-31 0.0000E+00 0.0000E+00 2.5779E-10 2.5779E-10 0.0000E+00 0.0000E+00 2.5779E-10 6.99E-06 6.99E-06   0.001 1.0000 7.0183E-06    621.358
