T F 2    2    2    0    2    2    2    2    2    2    1    0    0   0.0000.00000
    1    1    1    0    0    0  50.00000   0.00000   0.00000   0.00000   0.00000
 -99.000 -99.000 -99.000
 -99.00000 -99.00000 -99.00000  2.922360  0.000710 ! H2O & O3 COLUMNS [GM/CM2]
   36MID-LATITUDE SUMMER 
  20.00000   3.00000 148.25264  20.00085   0.09459   0.00000    0        0.00000
    0    0  172    0
   0.00000   0.00000   0.00000  70.00331   0.00000 180.00000   0.00000   0.00000
    9091.0   14286.0      10.0      10.0NW              
    0   0    0.000  0    0.000  0    1.000
    FREQ  TOT_TRANS  PTH_THRML  THRML_SCT  SURF_EMIS   SOL_SCAT  SING_SCAT  GRND_RFLT  DRCT_RFLT  TOTAL_RAD  REF_SOL  SOL@OBS   DEPTH DIR_EM    TOA_SUN BBODY_T[K]
 9091.00 0.91225988 9.4533E-23 0.0000E+00 0.0000E+00 1.0595E-08 1.0595E-08 0.0000E+00 0.0000E+00 1.0595E-08 5.30E-06 6.90E-06   0.092 1.0000 6.9214E-06    716.643
 9101.00 0.92975086 7.2836E-23 0.0000E+00 0.0000E+00 1.0524E-08 1.0524E-08 0.0000E+00 0.0000E+00 1.0524E-08 5.37E-06 6.73E-06   0.073 1.0000 6.7529E-06    717.037
 9111.00 0.94415087 5.3734E-23 0.0000E+00 0.0000E+00 1.0741E-08 1.0741E-08 0.0000E+00 0.0000E+00 1.0741E-08 5.63E-06 6.75E-06   0.057 1.0000 6.7702E-06    718.500
 9121.00 0.94294071 5.1212E-23 0.0000E+00 0.0000E+00 1.0739E-08 1.0739E-08 0.0000E+00 0.0000E+00 1.0739E-08 5.61E-06 6.74E-06   0.059 1.0000 6.7570E-06    719.152
 9131.00 0.94009483 5.1917E-23 0.0000E+00 0.0000E+00 1.0675E-08 1.0675E-08 0.0000E+00 0.0000E+00 1.0675E-08 5.53E-06 6.70E-06   0.062 1.0000 6.7175E-06    719.574
 9141.00 0.95652062 3.3959E-23 0.0000E+00 0.0000E+00 1.0438E-08 1.0438E-08 0.0000E+00 0.0000E+00 1.0438E-08 5.55E-06 6.43E-06   0.044 1.0000 6.4440E-06    719.348
 9151.00 0.93650740 4.7960E-23 0.0000E+00 0.0000E+00 1.0951E-08 1.0951E-08 0.0000E+00 0.0000E+00 1.0951E-08 5.65E-06 6.84E-06   0.066 1.0000 6.8615E-06    721.900
 9161.00 0.96749127 1.9826E-23 0.0000E+00 0.0000E+00 1.1430E-08 1.1430E-08 0.0000E+00 0.0000E+00 1.1430E-08 6.20E-06 6.91E-06   0.033 1.0000 6.9345E-06    724.260
 9171.00 0.94895357 3.4314E-23 0.0000E+00 0.0000E+00 1.1343E-08 1.1343E-08 0.0000E+00 0.0000E+00 1.1343E-08 5.94E-06 6.97E-06   0.052 1.0000 6.9883E-06    724.616
 9181.00 0.95907086 2.5300E-23 0.0000E+00 0.0000E+00 1.1293E-08 1.1293E-08 0.0000E+00 0.0000E+00 1.1293E-08 5.98E-06 6.85E-06   0.042 1.0000 6.8738E-06    725.099
 9191.00 0.96770024 1.7340E-23 0.0000E+00 0.0000E+00 1.1390E-08 1.1390E-08 0.0000E+00 0.0000E+00 1.1390E-08 6.11E-06 6.83E-06   0.033 1.0000 6.8531E-06    726.101
 9201.00 0.95456624 2.5215E-23 0.0000E+00 0.0000E+00 1.1166E-08 1.1166E-08 0.0000E+00 0.0000E+00 1.1166E-08 5.85E-06 6.76E-06   0.046 1.0000 6.7792E-06    725.969
 9211.00 0.95522422 2.3678E-23 0.0000E+00 0.0000E+00 1.1619E-08 1.1619E-08 0.0000E+00 0.0000E+00 1.1619E-08 6.08E-06 7.01E-06   0.046 1.0000 7.0277E-06    728.216
 9221.00 0.96384043 1.7375E-23 0.0000E+00 0.0000E+00 1.1639E-08 1.1639E-08 0.0000E+00 0.0000E+00 1.1639E-08 6.14E-06 6.95E-06   0.037 1.0000 6.9689E-06    728.945
 9231.00 0.96161437 1.7859E-23 0.0000E+00 0.0000E+00 1.1361E-08 1.1361E-08 0.0000E+00 0.0000E+00 1.1361E-08 5.97E-06 6.77E-06   0.039 1.0000 6.7955E-06    728.636
 9241.00 0.96894741 1.2421E-23 0.0000E+00 0.0000E+00 1.1455E-08 1.1455E-08 0.0000E+00 0.0000E+00 1.1455E-08 6.08E-06 6.76E-06   0.032 1.0000 6.7842E-06    729.626
 9251.00 0.96290606 1.5353E-23 0.0000E+00 0.0000E+00 1.1620E-08 1.1620E-08 0.0000E+00 0.0000E+00 1.1620E-08 6.08E-06 6.88E-06   0.038 1.0000 6.9007E-06    730.858
 9261.00 0.96566021 1.3046E-23 0.0000E+00 0.0000E+00 1.1841E-08 1.1841E-08 0.0000E+00 0.0000E+00 1.1841E-08 6.21E-06 6.97E-06   0.035 1.0000 6.9947E-06    732.276
 9271.00 0.97088373 9.5492E-24 0.0000E+00 0.0000E+00 1.1728E-08 1.1728E-08 0.0000E+00 0.0000E+00 1.1728E-08 6.19E-06 6.86E-06   0.030 1.0000 6.8762E-06    732.551
 9281.00 0.96250248 1.3355E-23 0.0000E+00 0.0000E+00 1.1930E-08 1.1930E-08 0.0000E+00 0.0000E+00 1.1930E-08 6.17E-06 7.01E-06   0.038 1.0000 7.0330E-06    733.897
 9291.00 0.97108716 8.3179E-24 0.0000E+00 0.0000E+00 1.2027E-08 1.2027E-08 0.0000E+00 0.0000E+00 1.2027E-08 6.32E-06 6.99E-06   0.029 1.0000 7.0135E-06    734.887
 9301.00 0.96683615 9.7704E-24 0.0000E+00 0.0000E+00 1.1753E-08 1.1753E-08 0.0000E+00 0.0000E+00 1.1753E-08 6.10E-06 6.84E-06   0.034 1.0000 6.8637E-06    734.614
 9311.00 0.96840346 8.4737E-24 0.0000E+00 0.0000E+00 1.2006E-08 1.2006E-08 0.0000E+00 0.0000E+00 1.2006E-08 6.24E-06 6.96E-06   0.032 1.0000 6.9849E-06    736.136
 9321.00 0.96763349 8.1768E-24 0.0000E+00 0.0000E+00 1.1850E-08 1.1850E-08 0.0000E+00 0.0000E+00 1.1850E-08 6.13E-06 6.86E-06   0.033 1.0000 6.8861E-06    736.265
 9331.00 0.96739167 7.6591E-24 0.0000E+00 0.0000E+00 1.2084E-08 1.2084E-08 0.0000E+00 0.0000E+00 1.2084E-08 6.23E-06 6.99E-06   0.033 1.0000 7.0103E-06    737.719
 9341.00 0.96655375 7.3497E-24 0.0000E+00 0.0000E+00 1.2043E-08 1.2043E-08 0.0000E+00 0.0000E+00 1.2043E-08 6.18E-06 6.96E-06   0.034 1.0000 6.9794E-06    738.241
 9351.00 0.96429211 7.5889E-24 0.0000E+00 0.0000E+00 1.1564E-08 1.1564E-08 0.0000E+00 0.0000E+00 1.1564E-08 5.89E-06 6.68E-06   0.036 1.0000 6.7060E-06    737.258
 9361.00 0.96374148 6.9532E-24 0.0000E+00 0.0000E+00 1.1924E-08 1.1924E-08 0.0000E+00 0.0000E+00 1.1924E-08 6.06E-06 6.89E-06   0.037 1.0000 6.9146E-06    739.156
 9371.00 0.96298963 6.7909E-24 0.0000E+00 0.0000E+00 1.2104E-08 1.2104E-08 0.0000E+00 0.0000E+00 1.2104E-08 6.13E-06 6.98E-06   0.038 1.0000 7.0062E-06    740.424
 9381.00 0.96314847 6.3375E-24 0.0000E+00 0.0000E+00 1.2079E-08 1.2079E-08 0.0000E+00 0.0000E+00 1.2079E-08 6.10E-06 6.95E-06   0.038 1.0000 6.9727E-06    741.002
 9391.00 0.96284199 6.1423E-24 0.0000E+00 0.0000E+00 1.2320E-08 1.2320E-08 0.0000E+00 0.0000E+00 1.2320E-08 6.20E-06 7.07E-06   0.038 1.0000 7.0927E-06    742.466
 9401.00 0.96388739 5.6338E-24 0.0000E+00 0.0000E+00 1.2283E-08 1.2283E-08 0.0000E+00 0.0000E+00 1.2283E-08 6.17E-06 7.01E-06   0.037 1.0000 7.0394E-06    743.003
 9411.00 0.96432972 5.3641E-24 0.0000E+00 0.0000E+00 1.2304E-08 1.2304E-08 0.0000E+00 0.0000E+00 1.2304E-08 6.17E-06 7.00E-06   0.036 1.0000 7.0221E-06    743.734
 9421.00 0.96524340 4.9373E-24 0.0000E+00 0.0000E+00 1.2328E-08 1.2328E-08 0.0000E+00 0.0000E+00 1.2328E-08 6.18E-06 6.98E-06   0.035 1.0000 7.0055E-06    744.472
 9431.00 0.96569842 4.6354E-24 0.0000E+00 0.0000E+00 1.2307E-08 1.2307E-08 0.0000E+00 0.0000E+00 1.2307E-08 6.15E-06 6.94E-06   0.035 1.0000 6.9676E-06    745.063
 9441.00 0.96617895 4.3590E-24 0.0000E+00 0.0000E+00 1.2318E-08 1.2318E-08 0.0000E+00 0.0000E+00 1.2318E-08 6.15E-06 6.92E-06   0.034 1.0000 6.9484E-06    745.761
 9451.00 0.96697581 4.0582E-24 0.0000E+00 0.0000E+00 1.2418E-08 1.2418E-08 0.0000E+00 0.0000E+00 1.2418E-08 6.19E-06 6.95E-06   0.034 1.0000 6.9764E-06    746.751
 9461.00 0.96790659 3.7559E-24 0.0000E+00 0.0000E+00 1.2669E-08 1.2669E-08 0.0000E+00 0.0000E+00 1.2669E-08 6.31E-06 7.07E-06   0.033 1.0000 7.0891E-06    748.235
 9471.00 0.96872801 3.4922E-24 0.0000E+00 0.0000E+00 1.2721E-08 1.2721E-08 0.0000E+00 0.0000E+00 1.2721E-08 6.33E-06 7.07E-06   0.032 1.0000 7.0904E-06    749.064
 9481.00 0.96943498 3.2504E-24 0.0000E+00 0.0000E+00 1.2757E-08 1.2757E-08 0.0000E+00 0.0000E+00 1.2757E-08 6.34E-06 7.06E-06   0.031 1.0000 7.0848E-06    749.841
 9491.00 0.96996391 3.0382E-24 0.0000E+00 0.0000E+00 1.2695E-08 1.2695E-08 0.0000E+00 0.0000E+00 1.2695E-08 6.30E-06 7.00E-06   0.030 1.0000 7.0271E-06    750.298
 9501.00 0.97028661 2.8632E-24 0.0000E+00 0.0000E+00 1.2803E-08 1.2803E-08 0.0000E+00 0.0000E+00 1.2803E-08 6.34E-06 7.04E-06   0.030 1.0000 7.0663E-06    751.307
 9511.00 0.97068906 2.6945E-24 0.0000E+00 0.0000E+00 1.2854E-08 1.2854E-08 0.0000E+00 0.0000E+00 1.2854E-08 6.36E-06 7.05E-06   0.030 1.0000 7.0729E-06    752.134
 9521.00 0.97088593 2.5389E-24 0.0000E+00 0.0000E+00 1.2880E-08 1.2880E-08 0.0000E+00 0.0000E+00 1.2880E-08 6.36E-06 7.04E-06   0.030 1.0000 7.0689E-06    752.876
 9531.00 0.97097743 2.4068E-24 0.0000E+00 0.0000E+00 1.2938E-08 1.2938E-08 0.0000E+00 0.0000E+00 1.2938E-08 6.37E-06 7.06E-06   0.029 1.0000 7.0837E-06    753.725
 9541.00 0.97159445 2.2587E-24 0.0000E+00 0.0000E+00 1.2989E-08 1.2989E-08 0.0000E+00 0.0000E+00 1.2989E-08 6.39E-06 7.06E-06   0.029 1.0000 7.0847E-06    754.546
 9551.00 0.97171855 2.1421E-24 0.0000E+00 0.0000E+00 1.2900E-08 1.2900E-08 0.0000E+00 0.0000E+00 1.2900E-08 6.33E-06 6.99E-06   0.029 1.0000 7.0183E-06    754.923
 9561.00 0.97181284 2.0321E-24 0.0000E+00 0.0000E+00 1.2795E-08 1.2795E-08 0.0000E+00 0.0000E+00 1.2795E-08 6.27E-06 6.92E-06   0.029 1.0000 6.9440E-06    755.244
 9571.00 0.97187006 1.9324E-24 0.0000E+00 0.0000E+00 1.3066E-08 1.3066E-08 0.0000E+00 0.0000E+00 1.3066E-08 6.38E-06 7.05E-06   0.029 1.0000 7.0733E-06    756.774
 9581.00 0.97195822 1.8317E-24 0.0000E+00 0.0000E+00 1.3117E-08 1.3117E-08 0.0000E+00 0.0000E+00 1.3117E-08 6.40E-06 7.06E-06   0.028 1.0000 7.0833E-06    757.595
 9591.00 0.97193307 1.7479E-24 0.0000E+00 0.0000E+00 1.3060E-08 1.3060E-08 0.0000E+00 0.0000E+00 1.3060E-08 6.35E-06 7.01E-06   0.028 1.0000 7.0362E-06    758.075
 9601.00 0.97186035 1.6712E-24 0.0000E+00 0.0000E+00 1.3209E-08 1.3209E-08 0.0000E+00 0.0000E+00 1.3209E-08 6.41E-06 7.08E-06   0.029 1.0000 7.1006E-06    759.207
 9611.00 0.97189504 1.5846E-24 0.0000E+00 0.0000E+00 1.3161E-08 1.3161E-08 0.0000E+00 0.0000E+00 1.3161E-08 6.37E-06 7.03E-06   0.029 1.0000 7.0589E-06    759.717
 9621.00 0.97186589 1.5095E-24 0.0000E+00 0.0000E+00 1.3182E-08 1.3182E-08 0.0000E+00 0.0000E+00 1.3182E-08 6.37E-06 7.03E-06   0.029 1.0000 7.0542E-06    760.443
 9631.00 0.97186947 1.4385E-24 0.0000E+00 0.0000E+00 1.3204E-08 1.3204E-08 0.0000E+00 0.0000E+00 1.3204E-08 6.36E-06 7.03E-06   0.029 1.0000 7.0494E-06    761.174
 9641.00 0.97173029 1.3720E-24 0.0000E+00 0.0000E+00 1.3144E-08 1.3144E-08 0.0000E+00 0.0000E+00 1.3144E-08 6.32E-06 6.98E-06   0.029 1.0000 7.0036E-06    761.645
 9651.00 0.97178686 1.3098E-24 0.0000E+00 0.0000E+00 1.3378E-08 1.3378E-08 0.0000E+00 0.0000E+00 1.3378E-08 6.42E-06 7.09E-06   0.029 1.0000 7.1097E-06    763.042
 9661.00 0.97193241 1.2371E-24 0.0000E+00 0.0000E+00 1.3254E-08 1.3254E-08 0.0000E+00 0.0000E+00 1.3254E-08 6.34E-06 7.00E-06   0.028 1.0000 7.0258E-06    763.310
 9671.00 0.97177309 1.1889E-24 0.0000E+00 0.0000E+00 1.3285E-08 1.3285E-08 0.0000E+00 0.0000E+00 1.3285E-08 6.34E-06 7.00E-06   0.029 1.0000 7.0276E-06    764.070
 9681.00 0.97175628 1.1323E-24 0.0000E+00 0.0000E+00 1.3278E-08 1.3278E-08 0.0000E+00 0.0000E+00 1.3278E-08 6.32E-06 6.98E-06   0.029 1.0000 7.0080E-06    764.708
 9691.00 0.97154379 1.0905E-24 0.0000E+00 0.0000E+00 1.3495E-08 1.3495E-08 0.0000E+00 0.0000E+00 1.3495E-08 6.41E-06 7.08E-06   0.029 1.0000 7.1079E-06    766.048
 9701.00 0.97139871 1.0471E-24 0.0000E+00 0.0000E+00 1.3504E-08 1.3504E-08 0.0000E+00 0.0000E+00 1.3504E-08 6.40E-06 7.07E-06   0.029 1.0000 7.0980E-06    766.738
 9711.00 0.97141683 9.9382E-25 0.0000E+00 0.0000E+00 1.3506E-08 1.3506E-08 0.0000E+00 0.0000E+00 1.3506E-08 6.38E-06 7.06E-06   0.029 1.0000 7.0827E-06    767.403
 9721.00 0.97068423 9.8820E-25 0.0000E+00 0.0000E+00 1.3537E-08 1.3537E-08 0.0000E+00 0.0000E+00 1.3537E-08 6.37E-06 7.06E-06   0.030 1.0000 7.0883E-06    768.160
 9731.00 0.96987617 9.8456E-25 0.0000E+00 0.0000E+00 1.3632E-08 1.3632E-08 0.0000E+00 0.0000E+00 1.3632E-08 6.39E-06 7.10E-06   0.031 1.0000 7.1280E-06    769.115
